date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,16,PM2.5,98,128,114,106,94,107,96
20200101,17,PM2.5,102,138,116,103,105,113,95
20200101,18,PM2.5,98,130,124,113,120,118,93
20200101,19,PM2.5,94,115,130,118,112,108,98
20200101,20,PM2.5,91,107,125,102,101,104,100
20200101,21,PM2.5,90,102,114,98,104,104,99
20200101,22,PM2.5,89,100,111,97,106,104,102
20200101,23,PM2.5,97,101,108,98,102,101,101
20200102,0,PM2.5,101,103,108,98,99,100,97
20200102,1,PM2.5,96,101,107,101,95,95,93
20200102,2,PM2.5,100,103,104,100,95,96,93
20200102,3,PM2.5,103,102,104,108,98,96,93
20200102,4,PM2.5,98,103,103,110,103,95,95
20200102,5,PM2.5,92,109,102,102,103,97,94
20200102,6,PM2.5,94,108,105,102,100,98,94
20200102,7,PM2.5,101,105,105,103,106,100,96
20200102,8,PM2.5,110,106,102,100,116,106,98
20200102,9,PM2.5,109,105,107,99,116,106,99
20200102,10,PM2.5,101,108,109,102,129,104,107
20200102,11,PM2.5,102,114,120,106,134,102,100
20200102,12,PM2.5,,111,124,106,132,102,103
20200102,13,PM2.5,99,111,117,106,126,101,117
20200102,14,PM2.5,102,114,119,,118,98,99
20200102,15,PM2.5,87,,117,104,119,97,100
20200102,16,PM2.5,101,104,117,100,122,103,99
20200102,17,PM2.5,101,108,116,101,121,97,
20200102,18,PM2.5,78,115,120,105,119,89,101
20200102,19,PM2.5,66,118,116,106,96,84,106
20200102,21,PM2.5,81,111,99,98,95,76,116
20200102,22,PM2.5,84,108,102,98,100,79,114
20200102,23,PM2.5,100,104,103,99,106,86,111
20200103,0,PM2.5,98,108,101,100,111,91,109
20200103,1,PM2.5,106,109,101,103,113,98,109
20200103,2,PM2.5,110,109,82,106,111,102,111
20200103,3,PM2.5,104,109,72,103,116,105,110
20200103,4,PM2.5,113,106,76,102,113,102,111
20200103,5,PM2.5,113,108,89,95,117,103,110
20200103,6,PM2.5,104,106,95,90,122,104,109
20200103,7,PM2.5,96,105,96,88,115,101,105
20200103,8,PM2.5,82,106,94,93,109,88,101
20200103,9,PM2.5,72,117,103,94,91,75,98
20200103,10,PM2.5,65,118,110,87,78,79,110
20200103,11,PM2.5,57,84,90,93,83,77,110
20200103,12,PM2.5,50,66,74,74,72,62,98
20200103,13,PM2.5,48,66,67,58,58,48,66
20200103,14,PM2.5,40,55,59,48,51,43,50
20200103,15,PM2.5,,54,,51,50,43,43
20200103,16,PM2.5,,49,64,51,51,44,47
20200103,17,PM2.5,,49,64,52,52,45,52
20200103,18,PM2.5,,52,64,53,56,49,55
20200103,19,PM2.5,,53,69,54,64,58,52
20200103,20,PM2.5,61,59,71,60,69,63,62
20200103,21,PM2.5,,72,73,71,77,66,63
20200103,22,PM2.5,68,77,74,77,81,74,69
20200103,23,PM2.5,74,80,79,82,84,81,78
20200104,0,PM2.5,79,83,82,81,89,,73
20200104,1,PM2.5,81,90,86,78,91,,63
20200104,2,PM2.5,86,87,89,78,90,,57
20200104,3,PM2.5,87,90,91,83,89,,
20200104,4,PM2.5,94,95,96,87,89,,
20200104,5,PM2.5,87,100,94,87,89,,60
20200104,6,PM2.5,96,96,82,77,90,,60
20200104,7,PM2.5,98,94,82,77,89,,59
20200104,8,PM2.5,92,98,86,77,84,,61
20200104,9,PM2.5,90,100,88,89,98,,64
20200104,10,PM2.5,84,118,86,93,117,,68
20200104,11,PM2.5,100,126,,105,111,,
20200104,12,PM2.5,104,120,,106,118,,66
20200104,13,PM2.5,104,115,118,106,124,,66
20200104,14,PM2.5,104,113,122,106,114,,68
20200104,15,PM2.5,,,126,116,119,,85
20200104,16,PM2.5,97,105,122,108,123,,79
20200104,17,PM2.5,86,111,119,102,111,,83
20200104,18,PM2.5,56,97,110,101,104,,87
20200104,19,PM2.5,38,87,100,85,91,,87
20200104,20,PM2.5,40,86,92,,91,,88
20200104,21,PM2.5,36,81,92,78,88,,87
20200104,22,PM2.5,28,80,90,76,89,,84
20200104,23,PM2.5,22,79,92,75,94,,78
20200105,0,PM2.5,28,79,91,77,91,,77
20200105,1,PM2.5,22,78,87,74,,,72
20200105,2,PM2.5,53,78,86,73,,,71
20200105,3,PM2.5,82,82,83,71,,,73
20200105,4,PM2.5,74,83,78,75,,,74
20200105,5,PM2.5,42,80,78,76,,,77
20200105,6,PM2.5,59,84,81,76,,,80
20200105,7,PM2.5,104,88,81,80,,,81
20200105,8,PM2.5,145,86,83,88,,,81
20200105,9,PM2.5,166,92,88,88,,,80
20200105,10,PM2.5,159,98,96,90,99,85,83
20200105,11,PM2.5,198,104,101,90,100,84,96
20200105,16,PM2.5,97,76,108,99,108,88,103
20200105,17,PM2.5,101,91,105,101,109,89,109
20200105,18,PM2.5,108,113,106,101,105,89,108
20200105,19,PM2.5,113,129,108,114,111,90,107
20200105,20,PM2.5,127,133,112,123,130,104,110
20200105,21,PM2.5,135,140,123,123,134,114,112
20200105,22,PM2.5,123,127,125,121,125,110,114
20200105,23,PM2.5,121,123,128,,121,102,
20200106,0,PM2.5,121,121,116,106,120,103,
20200106,1,PM2.5,126,119,115,103,120,103,
20200106,2,PM2.5,138,117,114,103,121,105,
20200106,3,PM2.5,125,118,112,115,124,107,
20200106,4,PM2.5,103,123,117,118,128,110,
20200106,5,PM2.5,111,125,112,113,137,114,108
20200106,6,PM2.5,105,126,98,112,125,96,105
20200106,7,PM2.5,81,127,96,100,117,88,103
20200106,8,PM2.5,68,124,106,104,102,84,106
20200106,9,PM2.5,124,123,116,105,99,,109
20200106,10,PM2.5,119,123,120,108,95,81,111
20200106,11,PM2.5,142,121,123,110,99,77,114
20200106,13,PM2.5,116,74,92,75,91,75,69
20200106,14,PM2.5,125,76,92,63,91,73,67
20200106,15,PM2.5,125,74,94,59,91,69,66
20200106,16,PM2.5,110,69,93,65,79,70,64
20200106,17,PM2.5,102,75,,61,66,69,41
20200106,18,PM2.5,86,65,90,60,61,59,42
20200106,19,PM2.5,78,78,63,63,66,59,44
20200106,20,PM2.5,94,85,68,72,91,78,41
20200106,21,PM2.5,93,84,67,66,98,83,42
20200106,22,PM2.5,,52,50,50,77,78,
20200106,23,PM2.5,88,52,58,50,67,62,
20200107,0,PM2.5,,58,59,51,67,59,
20200107,1,PM2.5,95,62,57,52,64,55,
20200107,2,PM2.5,89,61,59,56,64,57,
20200107,3,PM2.5,86,60,65,53,72,,
20200107,4,PM2.5,,,64,53,85,,
20200107,5,PM2.5,,74,65,60,90,,
20200107,6,PM2.5,,75,72,58,92,,
20200107,7,PM2.5,64,72,69,58,90,,
20200107,8,PM2.5,62,72,67,61,90,,
20200107,9,PM2.5,67,71,76,61,92,,
20200107,10,PM2.5,81,70,79,61,76,75,
20200107,11,PM2.5,79,60,70,51,65,60,
20200107,12,PM2.5,62,57,61,49,63,59,
20200107,13,PM2.5,58,56,55,44,60,50,42
20200107,14,PM2.5,58,,53,44,50,46,37
20200107,15,PM2.5,49,49,46,40,47,44,34
20200107,16,PM2.5,41,48,39,39,50,43,37
20200107,17,PM2.5,44,,,36,45,41,40
20200107,18,PM2.5,48,44,40,36,42,36,39
20200107,19,PM2.5,51,46,44,42,47,40,43
20200109,23,PM2.5,55,57,44,40,56,45,51
20200110,0,PM2.5,60,59,44,50,50,40,55
20200110,1,PM2.5,64,60,47,52,56,43,57
20200110,2,PM2.5,64,42,45,42,,39,54
20200110,3,PM2.5,62,40,38,34,,42,45
20200110,4,PM2.5,54,43,36,36,61,44,40
20200110,5,PM2.5,50,46,36,32,55,41,
20200110,6,PM2.5,49,51,32,29,45,36,
20200110,7,PM2.5,41,46,25,31,54,38,
20200110,8,PM2.5,33,41,34,32,,29,
20200110,9,PM2.5,27,38,32,26,,28,37
20200110,10,PM2.5,28,34,27,26,,24,44
20200110,11,PM2.5,40,32,27,,,24,36
20200110,12,PM2.5,44,33,26,,,21,29
20200110,13,PM2.5,,28,23,,,21,31
20200110,14,PM2.5,23,29,26,7,,23,28
20200110,15,PM2.5,27,27,29,8,,25,
20200110,16,PM2.5,34,25,23,8,,21,
20200110,17,PM2.5,34,28,26,9,,23,
20200110,18,PM2.5,,32,27,11,,25,
20200110,19,PM2.5,36,35,29,13,,30,
20200110,20,PM2.5,42,37,30,16,40,34,25
20200110,21,PM2.5,45,38,33,19,46,38,32
20200115,18,PM2.5,54,33,39,35,42,41,37
20200115,19,PM2.5,56,35,41,40,44,42,37
20200115,20,PM2.5,59,38,45,43,49,44,39
20200115,21,PM2.5,57,37,,46,54,52,37
20200115,22,PM2.5,54,41,47,48,57,,39
20200115,23,PM2.5,56,38,47,50,56,,43
20200116,0,PM2.5,55,43,48,48,53,,
20200116,1,PM2.5,57,45,51,50,57,55,
20200116,2,PM2.5,60,43,55,,51,48,
20200116,3,PM2.5,65,42,56,,52,50,
20200116,4,PM2.5,64,43,54,,57,55,
20200116,5,PM2.5,63,43,56,,,55,
20200116,6,PM2.5,64,46,45,,,56,
20200116,7,PM2.5,62,45,44,,,56,
20200116,8,PM2.5,58,43,43,,,54,
20200116,9,PM2.5,55,43,44,,,54,
20200116,10,PM2.5,57,48,50,,,52,
20200116,11,PM2.5,47,44,45,,,41,
20200116,12,PM2.5,42,30,40,,,39,
20200116,13,PM2.5,45,29,35,,,45,
20200116,14,PM2.5,46,33,34,,,45,
20200116,15,PM2.5,39,32,31,,,41,
20200116,16,PM2.5,39,35,29,,,39,
20200116,17,PM2.5,36,34,30,,24,32,
20200116,18,PM2.5,30,39,27,,23,28,
20200116,19,PM2.5,33,40,28,,28,33,
20200116,20,PM2.5,34,,32,,33,38,
20200116,21,PM2.5,39,,34,,36,38,
20200116,22,PM2.5,42,,35,,38,39,
20200116,23,PM2.5,45,,35,,40,39,
20200117,0,PM2.5,48,,34,,38,36,
20200117,1,PM2.5,73,,33,,42,42,
20200117,2,PM2.5,73,,32,,54,,30
20200117,3,PM2.5,74,,39,,64,62,32
20200117,4,PM2.5,81,,42,,66,63,31
20200117,5,PM2.5,78,,54,,72,68,32
20200117,6,PM2.5,,,54,74,73,68,32
20200117,7,PM2.5,,,56,66,69,66,34
20200117,8,PM2.5,61,66,51,64,66,60,44
20200117,9,PM2.5,59,65,65,65,67,56,50
20200118,18,PM2.5,68,75,72,38,81,68,69
20200118,19,PM2.5,67,80,76,32,79,72,78
20200118,20,PM2.5,71,88,75,44,77,68,77
20200118,21,PM2.5,78,85,71,49,72,67,84
20200118,22,PM2.5,,78,74,51,67,60,79
20200118,23,PM2.5,98,68,72,45,66,65,78
20200119,0,PM2.5,106,59,83,53,72,72,78
20200119,1,PM2.5,105,59,92,71,74,74,75
20200119,2,PM2.5,98,70,88,79,75,76,77
