date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,0,PM2.5,130,106,112,108,120,138,102
20200101,1,PM2.5,113,108,112,104,115,138,107
20200101,2,PM2.5,114,111,116,103,101,133,107
20200101,3,PM2.5,108,118,119,107,100,154,105
20200101,4,PM2.5,106,116,120,96,90,120,111
20200101,5,PM2.5,101,115,124,102,94,110,111
20200101,6,PM2.5,86,105,121,105,,116,115
20200101,7,PM2.5,68,86,121,95,,79,112
20200101,8,PM2.5,65,84,110,83,,71,107
20200101,9,PM2.5,74,78,99,76,,69,110
20200101,10,PM2.5,78,71,98,73,,71,111
20200101,11,PM2.5,88,86,102,75,,72,113
20200101,12,PM2.5,91,98,106,88,,84,104
20200101,13,PM2.5,95,102,103,90,113,88,97
20200101,14,PM2.5,99,106,109,91,,90,98
20200101,15,PM2.5,100,106,112,110,,97,103
20200101,16,PM2.5,98,128,114,106,94,107,96
20200101,17,PM2.5,102,138,116,103,105,113,95
20200101,18,PM2.5,98,130,124,113,120,118,93
20200101,19,PM2.5,94,115,130,118,112,108,98
20200101,20,PM2.5,91,107,125,102,101,104,100
20200101,21,PM2.5,90,102,114,98,104,104,99
20200101,22,PM2.5,89,100,111,97,106,104,102
20200101,23,PM2.5,97,101,108,98,102,101,101
20200102,0,PM2.5,101,103,108,98,99,100,97
20200102,1,PM2.5,96,101,107,101,95,95,93
20200102,2,PM2.5,100,103,104,100,95,96,93
20200102,3,PM2.5,103,102,104,108,98,96,93
20200102,4,PM2.5,98,103,103,110,103,95,95
20200102,5,PM2.5,92,109,102,102,103,97,94
20200102,6,PM2.5,94,108,105,102,100,98,94
20200102,7,PM2.5,101,105,105,103,106,100,96
20200102,8,PM2.5,110,106,102,100,116,106,98
20200102,9,PM2.5,109,105,107,99,116,106,99
20200102,10,PM2.5,101,108,109,102,129,104,107
20200102,11,PM2.5,102,114,120,106,134,102,100
20200102,12,PM2.5,108,111,124,106,132,102,103
20200102,13,PM2.5,99,111,117,106,126,101,117
20200102,14,PM2.5,102,114,119,109,118,98,99
20200102,15,PM2.5,87,107,117,104,119,97,100
20200102,16,PM2.5,101,104,117,100,122,103,99
20200102,17,PM2.5,101,108,116,101,121,97,101
20200102,18,PM2.5,78,115,120,105,119,89,101
20200102,19,PM2.5,66,118,116,106,96,84,106
20200102,20,PM2.5,79,118,105,105,89,80,112
20200102,21,PM2.5,81,111,99,98,95,76,116
20200102,22,PM2.5,84,108,102,98,100,79,114
20200102,23,PM2.5,100,104,103,99,106,86,111
