date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1471A,1472A,1473A,1474A
20200101,17,PM2.5,107,94,102,84,108,92,117,99,114,122,86,114
20200101,18,PM2.5,90,88,97,88,97,96,119,92,119,118,92,106
20200101,19,PM2.5,88,90,104,91,98,103,109,86,117,122,97,103
20200101,20,PM2.5,94,94,102,83,93,100,109,84,105,124,91,105
20200101,21,PM2.5,108,97,109,87,88,99,114,93,114,120,93,99
20200101,22,PM2.5,105,105,110,90,78,95,96,103,129,122,92,100
20200101,23,PM2.5,118,95,104,95,80,,105,98,122,124,100,106
20200102,0,PM2.5,99,92,104,99,87,,124,105,126,126,100,
20200102,1,PM2.5,101,98,118,95,90,,,112,124,127,100,98
20200102,2,PM2.5,98,104,124,96,94,,115,116,119,127,100,100
20200102,3,PM2.5,103,104,117,,96,,113,115,112,127,99,102
20200102,4,PM2.5,107,107,115,,96,,108,111,102,126,100,99
20200102,5,PM2.5,113,105,111,,,,115,108,101,126,,98
20200102,6,PM2.5,116,103,113,99,99,,119,108,108,129,91,99
20200102,7,PM2.5,121,101,116,94,103,,118,106,112,133,94,102
20200102,8,PM2.5,126,99,114,93,109,,126,103,123,133,96,103
20200102,9,PM2.5,124,102,117,95,131,,126,104,121,135,95,106
20200102,10,PM2.5,116,104,119,96,125,,121,105,124,133,99,108
20200102,11,PM2.5,111,104,118,99,124,107,122,108,125,132,106,108
20200102,12,PM2.5,118,106,119,103,118,116,125,107,134,129,108,110
20200104,2,PM2.5,208,154,169,138,224,172,205,151,154,226,146,147
20200104,3,PM2.5,217,146,160,136,202,173,222,139,152,222,145,146
20200104,4,PM2.5,224,122,148,140,196,175,222,123,185,215,135,135
20200104,5,PM2.5,215,104,150,124,199,199,222,142,148,206,123,127
20200104,6,PM2.5,211,96,,119,202,207,228,177,177,201,117,118
20200104,7,PM2.5,222,94,,140,171,221,206,166,190,194,116,114
20200104,8,PM2.5,234,92,127,177,231,217,223,159,193,198,132,105
20200104,9,PM2.5,228,102,105,174,259,211,227,177,202,203,161,108
20200104,10,PM2.5,233,134,128,174,262,209,201,167,210,195,184,
20200104,11,PM2.5,241,154,129,155,170,216,178,220,208,168,190,
20200104,12,PM2.5,226,154,130,161,171,210,186,194,193,207,175,
20200104,13,PM2.5,196,181,168,169,176,176,212,196,213,212,158,
20200104,14,PM2.5,206,214,232,181,211,191,211,181,229,208,163,
20200104,15,PM2.5,218,223,240,211,212,206,191,196,207,187,202,219
20200104,16,PM2.5,205,,228,212,204,202,185,226,194,148,215,218
20200104,17,PM2.5,204,,220,210,212,197,,,194,153,212,199
20200104,18,PM2.5,197,194,207,201,192,200,,,220,181,209,211
20200104,19,PM2.5,192,213,215,191,209,184,,,244,226,195,252
20200104,20,PM2.5,224,250,249,218,241,212,,,244,264,207,257
20200104,21,PM2.5,243,246,252,,249,227,,,237,278,229,261
20200104,22,PM2.5,256,245,257,,259,,,,239,298,242,268
20200104,23,PM2.5,297,269,260,,291,,286,,275,316,245,302
20200105,0,PM2.5,307,286,259,,299,,277,,288,299,244,301
20200105,1,PM2.5,304,272,256,,296,,289,,282,280,247,290
20200105,2,PM2.5,294,261,249,,287,,248,,242,263,239,269
20200105,3,PM2.5,230,222,245,,228,,200,,204,218,242,222
20200105,4,PM2.5,196,199,233,,207,,178,,209,160,236,193
20200105,5,PM2.5,180,169,179,,183,,143,,156,134,202,145
20200105,6,PM2.5,148,133,145,,157,,106,,137,94,169,104
20200105,7,PM2.5,128,104,117,,139,,82,,107,70,155,75
20200105,8,PM2.5,109,88,109,,119,,,,94,66,136,66
20200105,9,PM2.5,101,112,,,110,,75,284,98,61,119,103
20200105,10,PM2.5,100,85,,,105,101,69,271,75,52,104,66
20200105,11,PM2.5,93,76,92,96,100,102,56,207,72,50,103,54
20200105,12,PM2.5,82,70,80,,88,94,54,135,66,49,104,47
20200105,13,PM2.5,75,66,65,81,80,86,53,120,66,51,92,48
20200105,14,PM2.5,68,63,68,82,77,78,59,142,69,56,86,53
20200108,21,PM2.5,162,156,151,141,147,138,185,152,160,187,133,165
20200108,22,PM2.5,172,158,154,140,152,145,197,150,162,190,142,172
20200108,23,PM2.5,180,175,177,147,167,152,208,155,164,191,148,185
20200109,0,PM2.5,184,184,,153,170,155,204,164,174,197,147,182
20200109,1,PM2.5,182,180,149,152,172,158,206,188,177,202,143,179
20200109,2,PM2.5,185,180,142,151,172,154,209,159,182,209,151,
20200109,3,PM2.5,188,182,,142,,154,206,158,183,210,150,
20200109,4,PM2.5,190,,,140,186,,208,153,181,209,145,
20200109,5,PM2.5,195,,,144,185,,205,152,182,213,149,
20200109,6,PM2.5,197,147,,147,184,,201,156,185,217,150,
20200109,7,PM2.5,196,146,150,152,186,,199,162,222,216,156,
20200109,8,PM2.5,192,146,150,157,185,,194,162,194,209,162,
20200109,9,PM2.5,176,,151,155,180,,188,165,199,200,160,
20200109,10,PM2.5,194,,153,158,188,,198,204,203,204,166,
20200109,11,PM2.5,196,,158,170,181,,202,187,209,222,170,
20200109,12,PM2.5,192,,156,173,192,,214,206,216,231,186,
20200109,13,PM2.5,197,,170,190,203,,225,204,225,239,209,
20200109,14,PM2.5,209,,183,193,212,,234,194,218,244,209,208
20200109,15,PM2.5,220,193,191,189,216,206,232,184,212,239,200,209
20200109,16,PM2.5,220,201,208,189,212,206,202,193,216,228,189,198
20200110,12,PM2.5,169,151,143,137,150,148,149,175,144,165,139,150
20200110,13,PM2.5,164,134,148,126,139,127,147,136,133,146,138,146
20200110,14,PM2.5,144,117,143,111,138,131,125,124,128,143,122,101
20200110,15,PM2.5,141,119,129,97,128,123,122,113,121,,101,80
20200110,16,PM2.5,147,132,120,99,135,128,142,115,116,,98,85
20200110,17,PM2.5,149,116,125,112,142,133,162,122,112,,101,111
20200110,18,PM2.5,,110,129,106,134,133,171,120,117,,105,122
20200110,19,PM2.5,146,108,123,104,129,132,184,116,117,,113,122
20200110,20,PM2.5,145,111,116,102,124,132,184,113,119,,111,122
20200110,21,PM2.5,141,107,129,106,,129,175,124,117,,109,121
20200110,22,PM2.5,142,98,117,105,137,119,165,119,,,109,122
20200110,23,PM2.5,147,108,111,107,124,88,140,120,119,,109,119
20200111,0,PM2.5,156,103,105,116,136,127,160,124,120,,109,
20200111,1,PM2.5,148,104,127,135,143,139,149,129,124,,131,
20200111,2,PM2.5,140,,107,134,136,133,136,130,119,,136,
20200111,3,PM2.5,124,,103,,131,121,144,123,120,160,124,
20200111,4,PM2.5,125,,107,,128,,146,110,93,132,99,
20200111,5,PM2.5,118,,105,,120,108,143,104,119,126,99,
20200111,6,PM2.5,114,,98,,121,101,154,93,126,132,97,
20200111,7,PM2.5,136,,97,,131,93,161,87,101,137,90,
20200111,8,PM2.5,135,,98,,131,91,137,88,79,109,84,
20200111,9,PM2.5,133,,101,,136,115,100,109,77,76,81,
20200111,10,PM2.5,126,,104,,123,122,63,121,81,56,80,
20200111,11,PM2.5,117,113,97,118,118,118,73,106,75,57,88,76
20200111,12,PM2.5,110,113,98,109,118,110,95,79,95,73,79,96
20200113,17,PM2.5,212,86,87,204,110,210,88,224,78,107,205,80
20200113,18,PM2.5,231,85,106,209,189,220,92,242,88,126,212,86
20200113,19,PM2.5,239,89,227,212,216,222,231,235,94,273,221,95
20200113,20,PM2.5,245,97,212,216,210,229,295,238,91,272,223,104
20200113,21,PM2.5,243,181,197,218,216,230,,260,99,272,224,119
20200113,22,PM2.5,236,230,179,220,198,229,271,268,108,274,223,134
20200113,23,PM2.5,236,227,176,230,153,,144,247,107,239,221,145
20200114,0,PM2.5,198,128,183,224,131,,133,279,105,141,223,133
20200114,1,PM2.5,162,118,152,189,131,,125,259,,113,228,134
20200114,2,PM2.5,,120,137,136,130,,88,235,,84,214,118
20200114,3,PM2.5,103,114,139,154,120,,58,224,,61,,72
20200114,4,PM2.5,85,90,126,141,87,,38,229,,42,,46
20200114,5,PM2.5,54,56,99,83,67,,27,257,,34,,35
20200114,6,PM2.5,38,39,56,,55,,21,261,,30,,32
20200114,7,PM2.5,47,40,44,37,57,,23,109,,29,,30
