date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,13,PM10,106,114,139,104,101,109,114
20200101,14,PM10,112,122,140,99,122,114,116
20200101,15,PM10,116,123,146,111,134,122,121
20200101,16,PM10,114,148,156,109,144,132,115
20200101,17,PM10,121,,158,108,158,,113
20200101,18,PM10,121,,169,123,162,143,111
20200101,19,PM10,119,,174,123,141,132,118
20200101,20,PM10,119,,167,115,131,125,122
20200101,21,PM10,120,,154,117,129,125,121
20200101,22,PM10,126,,150,122,127,126,123
20200101,23,PM10,,,142,126,123,127,121
20200102,0,PM10,,,141,127,121,128,116
20200102,1,PM10,128,,138,126,119,125,110
20200102,2,PM10,129,,132,130,119,124,110
20200102,3,PM10,126,,132,144,119,124,110
20200102,4,PM10,126,,,144,121,121,112
20200102,5,PM10,,,,130,125,122,112
20200102,6,PM10,123,,,133,123,122,112
20200102,7,PM10,127,,,136,128,124,114
20200102,8,PM10,132,,,133,140,131,116
20200102,9,PM10,135,,,130,141,128,117
20200102,10,PM10,142,,,133,135,127,128
20200102,11,PM10,146,,,139,134,130,
20200102,12,PM10,157,,179,136,137,135,
20200102,13,PM10,142,,173,135,136,137,
20200102,14,PM10,,,179,145,132,135,
20200102,15,PM10,,,170,136,137,135,
20200102,16,PM10,,,165,132,144,142,
20200102,17,PM10,,,163,136,142,131,
20200102,18,PM10,108,150,167,144,142,118,124
20200102,19,PM10,100,155,164,147,116,108,132
20200102,21,PM10,102,150,135,132,113,94,151
20200102,22,PM10,107,150,139,135,118,95,150
20200102,23,PM10,127,146,139,138,124,106,145
20200103,0,PM10,130,155,136,150,130,116,142
20200103,1,PM10,132,156,134,149,131,126,144
20200103,2,PM10,132,154,108,148,125,129,148
20200103,3,PM10,123,146,93,140,127,130,
20200103,4,PM10,130,139,98,134,122,124,
20200103,5,PM10,128,136,113,122,127,123,
20200103,6,PM10,121,132,119,116,132,125,
20200103,7,PM10,112,133,120,116,127,121,
20200103,8,PM10,98,135,116,127,120,104,
