date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,0,PM10,164,138,152,143,143,136,126
20200101,1,PM10,141,142,151,141,137,129,133
20200101,2,PM10,142,145,155,142,129,114,132
20200101,3,PM10,131,147,159,144,120,132,126
20200101,4,PM10,128,139,160,121,107,94,131
20200101,5,PM10,121,137,165,132,107,92,129
20200101,6,PM10,103,123,153,133,,130,134
20200101,7,PM10,81,100,136,114,,101,130
20200101,8,PM10,74,95,125,94,,91,125
20200101,9,PM10,81,87,118,86,,86,127
20200101,10,PM10,84,80,131,84,,88,126
20200101,11,PM10,96,96,144,89,,91,124
20200101,12,PM10,100,108,149,106,,104,115
20200101,13,PM10,106,114,139,104,101,109,114
20200101,14,PM10,112,122,140,99,122,114,116
20200101,15,PM10,116,123,146,111,134,122,121
20200101,16,PM10,114,148,156,109,144,132,115
20200101,17,PM10,121,161,158,108,158,138,113
20200101,18,PM10,121,156,169,123,162,143,111
20200101,19,PM10,119,142,174,123,141,132,118
20200101,20,PM10,119,133,167,115,131,125,122
20200101,21,PM10,120,128,154,117,129,125,121
20200101,22,PM10,126,127,150,122,127,126,123
20200101,23,PM10,128,128,142,126,123,127,121
20200102,0,PM10,132,129,141,127,121,128,116
20200102,1,PM10,128,130,138,126,119,125,110
20200102,2,PM10,129,137,132,130,119,124,110
20200102,3,PM10,126,133,132,144,119,124,110
20200102,4,PM10,126,132,130,144,121,121,112
20200102,5,PM10,123,138,129,130,125,122,112
20200102,6,PM10,123,137,133,133,123,122,112
20200102,7,PM10,127,132,130,136,128,124,114
20200102,8,PM10,132,134,126,133,140,131,116
20200102,9,PM10,135,134,133,130,141,128,117
20200102,10,PM10,142,138,138,133,135,127,128
20200102,11,PM10,146,145,158,139,134,130,121
20200102,12,PM10,157,143,179,136,137,135,125
20200102,13,PM10,142,142,173,135,136,137,143
20200102,14,PM10,143,142,179,145,132,135,117
20200102,15,PM10,116,136,170,136,137,135,121
20200102,16,PM10,130,134,165,132,144,142,120
20200102,17,PM10,132,140,163,136,142,131,123
20200102,18,PM10,108,150,167,144,142,118,124
20200102,19,PM10,100,155,164,147,116,108,132
20200102,20,PM10,104,158,145,144,107,101,145
20200102,21,PM10,102,150,135,132,113,94,151
