date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,161.0,158.0,108.0,158.0,68.0,138.0,113.0
20200101,18,PM10,121.0,156.0,169.0,127.4594594594603,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,142.0,174.0,127.1794294294296,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,133.0,167.0,125.30691568759188,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,122.39530434897182,154.0,122.39036224400391,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,120.44702723935613,150.0,120.44067583785814,127.0,72.0,126.0,123.0
20200101,23,PM10,128.0,118.6763819905766,142.0,118.6763819905766,123.0,69.0,127.0,121.0
20200102,0,PM10,132.0,117.20687048738174,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,115.78116571966265,138.0,115.78116571966265,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,114.52350013240041,132.0,114.52271788217337,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,114.01789851334986,132.0,114.01789851334986,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,114.14947103062568,130.0,114.14947103062568,121.0,70.0,121.0,112.0
20200102,5,PM10,123.0,115.15690409082238,129.0,115.15690409082238,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,116.58086618159601,133.0,116.57945259430237,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,119.09057117994246,130.0,119.09647611618705,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,120.52764125638352,126.0,120.52765709424173,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,123.47895404574294,133.0,123.47895404574294,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,126.38437778744942,138.0,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,130.32826478708512,158.0,139.0,134.0,88.0,130.0,121.0
20200102,12,PM10,157.0,132.10034169120385,179.0,136.0,137.0,80.0,135.0,125.0
20200102,13,PM10,142.0,132.7683407156293,173.0,135.0,136.0,87.0,137.0,143.0
20200102,14,PM10,143.0,133.05050492991447,179.0,145.0,132.0,80.0,135.0,117.0
20200102,15,PM10,116.0,132.37348231474442,170.0,136.0,137.0,86.0,135.0,121.0
20200102,16,PM10,130.0,131.41679945398064,165.0,132.0,144.0,91.0,142.0,120.0
20200102,17,PM10,132.0,131.02250241690368,163.0,136.0,142.0,96.0,131.0,123.0
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,145.0
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,146.0
20200103,5,PM10,128.0,114.54285714285666,114.54285714285666,122.0,127.0,38.0,123.0,143.0
20200103,6,PM10,121.0,111.97243942087528,111.97124954955947,116.0,132.0,41.0,125.0,140.0
20200103,7,PM10,112.0,109.49879411859351,120.0,116.0,127.0,41.0,121.0,135.0
20200103,8,PM10,98.0,105.5602911536821,116.0,127.0,120.0,42.0,104.0,134.0
20200103,9,PM10,90.0,100.24112287675976,125.0,127.0,100.0,39.0,100.07554372364066,135.0
20200103,10,PM10,82.0,89.91193075018457,131.0,105.0,86.0,38.0,89.72028913324928,89.95442540540643
20200103,11,PM10,71.0,81.5551481898921,106.0,113.0,92.0,30.0,81.32123255007427,81.56450612379464
20200103,12,PM10,61.0,68.96650146677082,89.0,68.93263007597182,81.0,33.0,68.84832821126025,69.00460521913328
20200103,13,PM10,61.57147129684893,61.68458917962987,77.0,61.66071959766379,65.0,39.0,61.610522675725505,61.709812550906946
20200103,14,PM10,58.54675387276704,58.57430403772597,69.0,58.56689472937046,58.0,38.0,58.55475695401633,58.58381068789902
20200103,15,PM10,57.65084737054704,57.66351285665347,63.0,57.659823441660045,57.656267950166736,39.0,57.654297509370245,57.66866236140667
20200103,16,PM10,60.0,58.56773401993705,72.0,58.55790734883528,58.54384347322885,41.0,58.53422019451346,58.57678419515803
20200103,17,PM10,61.0,62.164008342922145,75.0,62.06364094193825,61.908202814144445,46.0,61.79931933511594,62.24265189634856
20200103,18,PM10,69.0,75.2598974939818,79.0,74.4618496623209,73.15612636184268,52.0,72.23604393501546,75.79417099366754
20200103,19,PM10,78.0,85.58958227512231,90.0,84.61261908907034,83.01284140567843,61.0,81.8900120749768,86.2357050364642
20200103,20,PM10,89.0,87.09858703546826,96.0,86.89764126073122,86.57002564552283,64.0,86.33242400565086,87.2440325133103
20200103,21,PM10,94.0,96.90359534769328,101.0,96.85998771095583,96.79515568564273,96.38341561104755,96.75128671270218,96.93895316106065
20200103,22,PM10,104.0,99.59192253918592,104.0,99.60495154235174,99.60998991722556,99.39159114670052,99.60953517993475,99.56545080500617
