date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,161.0,158.0,108.0,158.0,68.0,138.0,113.0
20200101,18,PM10,121.0,156.0,169.0,,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,142.0,174.0,121.54165484521013,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,133.0,167.0,,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,,154.0,122.67826666170444,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,,150.0,,127.0,72.0,126.0,123.0
20200101,23,PM10,128.0,,142.0,,123.0,69.0,127.0,121.0
20200102,0,PM10,132.0,129.461842813928,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,,138.0,,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,127.85004603240638,132.0,,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,128.19110275131052,132.0,126.42421086115021,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,,130.0,,121.0,70.0,121.0,112.0
20200102,5,PM10,123.0,130.93040061183848,129.0,,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,131.05200932776052,133.0,,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,,130.0,,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,,126.0,,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,,133.0,,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,,138.0,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,140.04518850456344,158.0,139.0,134.0,88.0,130.0,121.0
20200102,12,PM10,157.0,142.50411657319904,179.0,136.0,137.0,80.0,135.0,125.0
20200102,13,PM10,142.0,142.31901957945593,173.0,135.0,136.0,87.0,137.0,143.0
20200102,14,PM10,143.0,,179.0,145.0,132.0,80.0,135.0,117.0
20200102,15,PM10,116.0,141.39277068371578,170.0,136.0,137.0,86.0,135.0,121.0
20200102,16,PM10,130.0,139.994971987957,165.0,132.0,144.0,91.0,142.0,120.0
20200102,17,PM10,132.0,,163.0,136.0,142.0,96.0,131.0,123.0
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,145.0
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,146.0
20200103,5,PM10,128.0,133.56063396995415,,122.0,127.0,38.0,123.0,143.0
20200103,6,PM10,121.0,131.8000416879589,113.35401710087287,116.0,132.0,41.0,125.0,140.0
20200103,7,PM10,112.0,,120.0,116.0,127.0,41.0,121.0,135.0
20200103,8,PM10,98.0,,116.0,127.0,120.0,42.0,104.0,134.0
20200103,9,PM10,90.0,129.9420640997703,125.0,127.0,100.0,39.0,,135.0
20200103,10,PM10,82.0,116.70957580098721,131.0,105.0,86.0,38.0,97.1557805236842,
20200103,11,PM10,71.0,,106.0,113.0,92.0,30.0,,121.95966172641943
20200103,12,PM10,61.0,,89.0,,81.0,33.0,,
20200103,13,PM10,,,77.0,,65.0,39.0,,
20200103,14,PM10,,,69.0,,58.0,38.0,,
20200103,15,PM10,57.3541289716959,76.62739535172781,63.0,72.3851393610239,,39.0,,
20200103,16,PM10,60.0,,72.0,,64.61025078647616,41.0,,
20200103,17,PM10,61.0,,75.0,,,46.0,,
20200103,18,PM10,69.0,,79.0,,,52.0,,
20200103,19,PM10,78.0,,90.0,,77.79663904847543,61.0,93.50837929575236,
20200103,20,PM10,89.0,,96.0,,,64.0,,
20200103,21,PM10,94.0,110.29160730044048,101.0,103.58161909878254,,67.48907501002154,,
20200103,22,PM10,104.0,,104.0,,,66.3826188246409,,
20200103,23,PM10,112.0,,107.0,,,56.0,,
20200104,0,PM10,116.0,,108.0,112.2806535328506,,57.0,,
20200104,1,PM10,118.0,124.9465531327297,115.0,,,55.0,111.0,
20200104,2,PM10,124.0,,117.0,,,56.0,107.0,118.27094146227367
20200104,3,PM10,119.0,128.00473193057564,118.0,116.0,,58.0,101.0,
20200104,4,PM10,124.0,,122.0,115.0,,61.0,101.0,120.00025346197064
20200104,5,PM10,116.0,,120.0,111.0,,60.0,102.0,
20200104,6,PM10,125.0,120.10645952903259,103.0,96.0,,60.0,101.0,
20200104,7,PM10,126.0,118.89674040818615,103.0,97.0,97.07439163982187,,98.0,106.91088253286313
20200104,8,PM10,119.0,,110.0,99.0,93.0,93.44774573995934,92.0,110.51913540854844
20200104,9,PM10,117.0,128.13764158884686,115.0,118.0,110.0,,114.0,
20200104,10,PM10,117.0,,109.0,120.0,136.0,97.1964890110877,136.0,
20200104,11,PM10,139.0,,119.0,128.0,134.0,,141.0,118.19403631572177
20200104,12,PM10,145.0,,123.0,117.0,147.0,110.31376417385093,157.0,
