date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,161.0,158.0,108.0,158.0,68.0,138.0,113.0
20200101,18,PM10,121.0,156.0,169.0,110.71428571428571,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,142.0,174.0,113.42857142857143,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,133.0,167.0,116.14285714285714,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,133.77272727272728,154.0,118.85714285714286,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,134.54545454545453,150.0,121.57142857142857,127.0,72.0,126.0,123.0
20200101,23,PM10,128.0,135.3181818181818,142.0,124.28571428571428,123.0,69.0,127.0,121.0
20200102,0,PM10,132.0,136.0909090909091,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,136.86363636363637,138.0,127.6,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,137.63636363636363,132.0,128.2,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,138.4090909090909,132.0,128.8,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,139.1818181818182,130.0,129.4,121.0,70.0,121.0,112.0
20200102,5,PM10,123.0,139.95454545454547,129.0,130.0,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,140.72727272727272,133.0,130.6,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,141.5,130.0,131.2,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,142.27272727272728,126.0,131.8,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,143.04545454545453,133.0,132.4,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,143.8181818181818,138.0,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,144.5909090909091,158.0,139.0,134.0,88.0,130.0,121.0
20200102,12,PM10,157.0,145.36363636363637,179.0,136.0,137.0,80.0,135.0,125.0
20200102,13,PM10,142.0,146.13636363636363,173.0,135.0,136.0,87.0,137.0,143.0
20200102,14,PM10,143.0,146.9090909090909,179.0,145.0,132.0,80.0,135.0,117.0
20200102,15,PM10,116.0,147.6818181818182,170.0,136.0,137.0,86.0,135.0,121.0
20200102,16,PM10,130.0,148.45454545454544,165.0,132.0,144.0,91.0,142.0,120.0
20200102,17,PM10,132.0,149.22727272727272,163.0,136.0,142.0,96.0,131.0,123.0
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,145.0
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,146.0
20200103,5,PM10,128.0,139.16666666666666,105.33333333333333,122.0,127.0,38.0,123.0,143.0
20200103,6,PM10,121.0,139.33333333333334,112.66666666666667,116.0,132.0,41.0,125.0,140.0
20200103,7,PM10,112.0,139.5,120.0,116.0,127.0,41.0,121.0,135.0
20200103,8,PM10,98.0,139.66666666666666,116.0,127.0,120.0,42.0,104.0,134.0
20200103,9,PM10,90.0,139.83333333333334,125.0,127.0,100.0,39.0,104.41176470588235,135.0
20200103,10,PM10,82.0,140.0,131.0,105.0,86.0,38.0,104.82352941176471,134.17948717948718
20200103,11,PM10,71.0,140.16666666666666,106.0,113.0,92.0,30.0,105.23529411764706,133.35897435897436
20200103,12,PM10,61.0,140.33333333333334,89.0,113.1875,81.0,33.0,105.6470588235294,132.53846153846155
20200103,13,PM10,60.75,140.5,77.0,113.375,65.0,39.0,106.05882352941177,131.71794871794873
20200103,14,PM10,60.5,140.66666666666666,69.0,113.5625,58.0,38.0,106.47058823529412,130.8974358974359
20200103,15,PM10,60.25,140.83333333333334,63.0,113.75,59.94444444444444,39.0,106.88235294117646,130.07692307692307
20200103,16,PM10,60.0,141.0,72.0,113.9375,61.888888888888886,41.0,107.29411764705883,129.25641025641025
20200103,17,PM10,61.0,141.16666666666666,75.0,114.125,63.833333333333336,46.0,107.70588235294117,128.43589743589743
20200103,18,PM10,69.0,141.33333333333334,79.0,114.3125,65.77777777777777,52.0,108.11764705882354,127.61538461538461
20200103,19,PM10,78.0,141.5,90.0,114.5,67.72222222222223,61.0,108.52941176470588,126.7948717948718
20200103,20,PM10,89.0,141.66666666666666,96.0,114.6875,69.66666666666667,64.0,108.94117647058823,125.97435897435898
20200103,21,PM10,94.0,141.83333333333334,101.0,114.875,71.61111111111111,61.333333333333336,109.3529411764706,125.15384615384616
20200103,22,PM10,104.0,142.0,104.0,115.0625,73.55555555555556,58.666666666666664,109.76470588235294,124.33333333333333
20200103,23,PM10,112.0,142.16666666666666,107.0,115.25,75.5,56.0,110.17647058823529,123.51282051282051
20200104,0,PM10,116.0,142.33333333333334,108.0,115.4375,77.44444444444444,57.0,110.58823529411765,122.6923076923077
