date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,161.0,158.0,108.0,158.0,68.0,138.0,113.0
20200101,18,PM10,121.0,156.0,169.0,,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,142.0,174.0,121.37714385986328,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,133.0,167.0,,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,,154.0,117.10880279541016,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,,150.0,,127.0,72.0,126.0,123.0
20200101,23,PM10,128.0,,142.0,,123.0,69.0,127.0,121.0
20200102,0,PM10,132.0,129.00135803222656,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,,138.0,,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,126.54548645019531,132.0,,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,126.4227294921875,132.0,120.21524047851562,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,,130.0,,121.0,70.0,121.0,112.0
20200102,5,PM10,123.0,126.4976577758789,129.0,,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,127.12173461914062,133.0,,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,,130.0,,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,,126.0,,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,,133.0,,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,,138.0,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,137.00936889648438,158.0,139.0,134.0,88.0,130.0,121.0
20200102,12,PM10,157.0,140.4486083984375,179.0,136.0,137.0,80.0,135.0,125.0
20200102,13,PM10,142.0,140.56858825683594,173.0,135.0,136.0,87.0,137.0,143.0
20200102,14,PM10,143.0,,179.0,145.0,132.0,80.0,135.0,117.0
20200102,15,PM10,116.0,135.67869567871094,170.0,136.0,137.0,86.0,135.0,121.0
20200102,16,PM10,130.0,137.69027709960938,165.0,132.0,144.0,91.0,142.0,120.0
20200102,17,PM10,132.0,,163.0,136.0,142.0,96.0,131.0,123.0
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,145.0
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,146.0
20200103,5,PM10,128.0,125.92974090576172,,122.0,127.0,38.0,123.0,143.0
20200103,6,PM10,121.0,125.13384246826172,112.69320678710938,116.0,132.0,41.0,125.0,140.0
20200103,7,PM10,112.0,,120.0,116.0,127.0,41.0,121.0,135.0
20200103,8,PM10,98.0,,116.0,127.0,120.0,42.0,104.0,134.0
20200103,9,PM10,90.0,118.59464263916016,125.0,127.0,100.0,39.0,,135.0
20200103,10,PM10,82.0,109.47000122070312,131.0,105.0,86.0,38.0,100.95304107666016,
20200103,11,PM10,71.0,,106.0,113.0,92.0,30.0,,105.04087829589844
20200103,12,PM10,61.0,,89.0,,81.0,33.0,,
20200103,13,PM10,,,77.0,,65.0,39.0,,
20200103,14,PM10,,,69.0,,58.0,38.0,,
20200103,15,PM10,62.19180679321289,84.81726837158203,63.0,76.7430648803711,,39.0,,
20200103,16,PM10,60.0,,72.0,,70.11109924316406,41.0,,
20200103,17,PM10,61.0,,75.0,,,46.0,,
20200103,18,PM10,69.0,,79.0,,,52.0,,
20200103,19,PM10,78.0,,90.0,,79.54666137695312,61.0,92.19058990478516,
20200103,20,PM10,89.0,,96.0,,,64.0,,
20200103,21,PM10,94.0,112.63409423828125,101.0,104.55926513671875,,78.94770050048828,,
20200103,22,PM10,104.0,,104.0,,,104.0,,
20200103,23,PM10,112.0,,107.0,,,56.0,,
20200104,0,PM10,116.0,,108.0,104.65896606445312,,57.0,,
20200104,1,PM10,118.0,99.75,115.0,,,55.0,111.0,
20200104,2,PM10,124.0,,117.0,,,56.0,107.0,101.0
20200104,3,PM10,119.0,102.4,118.0,116.0,,58.0,101.0,
20200104,4,PM10,124.0,,122.0,115.0,,61.0,101.0,104.6
20200104,5,PM10,116.0,,120.0,111.0,,60.0,102.0,
20200104,6,PM10,125.0,97.0,103.0,96.0,,60.0,101.0,
20200104,7,PM10,126.0,104.89378814697265,103.0,97.0,100.46894073486328,,98.0,104.89378814697265
20200104,8,PM10,119.0,,110.0,99.0,93.0,84.70188903808594,92.0,99.61698150634766
20200104,9,PM10,117.0,123.08501434326172,115.0,118.0,110.0,,114.0,
20200104,10,PM10,117.0,,109.0,120.0,136.0,96.84577178955078,136.0,
20200104,11,PM10,139.0,,119.0,128.0,134.0,,141.0,132.2
20200104,12,PM10,145.0,,123.0,117.0,147.0,105.34862518310547,157.0,
20200104,13,PM10,143.0,143.67034912109375,158.0,122.0,154.0,110.98131561279297,164.0,142.23595210484095
