Method,MAE,RMSE,SMAPE
LT,10.02039881013555,17.582708402797927,20.83488169621028
OK,10.124095367087966,16.6939079941455,20.47978314552137
RST,9.832428748892088,17.471031880596044,20.273993003399838
EST,10.362709053263004,16.81433249327459,20.98699688236805
EFIM,11.616277062398618,19.376620122546555,23.149670855404054
HST,8.780706312296799,14.827693758780287,18.120554615757047
STISE,10.197147585229342,17.24458472555286,21.094497398251765
BiLSTM,10.772670234496882,16.765794397722118,23.44387087813012
CGDST,8.402089686316067,14.448071483308654,17.27387536323889
FGDST,8.337419402514522,14.43508281908511,17.181884808691883
