date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,145.22064245441692,158.0,108.0,158.0,68.0,145.3060999288728,113.0
20200101,18,PM10,121.0,142.30631882502874,169.0,123.0,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,137.73859582230446,174.0,123.0,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,141.7549016742099,167.0,115.0,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,139.59361669138823,154.0,117.0,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,132.68057374463874,150.0,122.0,127.0,72.0,126.0,123.0
20200101,23,PM10,125.61280880421423,125.5864854351025,142.0,126.0,123.0,69.0,127.0,121.0
20200102,0,PM10,124.40048678071312,124.37481217944291,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,123.82888391433416,138.0,126.0,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,128.8251576554723,132.0,130.0,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,128.53831774329666,132.0,144.0,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,117.74265453952873,117.77141947592837,144.0,121.0,70.0,121.0,112.0
20200102,5,PM10,112.69747598986018,112.64011635679296,112.66352564447376,130.0,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,109.19097285134521,109.21066790568747,133.0,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,111.42598371766638,111.44660096576847,136.0,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,117.55634036468292,117.57869818543864,133.0,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,119.38122114092066,119.40366697331505,130.0,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,115.79946972837976,115.82462529106428,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,119.47537737958923,119.51074382052012,139.0,134.0,88.0,130.0,119.19258177316651
20200102,12,PM10,157.0,123.32939032528535,179.0,136.0,137.0,80.0,135.0,123.03021592551457
20200102,13,PM10,142.0,120.76560099644098,173.0,135.0,136.0,87.0,137.0,120.47513092568477
20200102,14,PM10,120.90212468447578,120.78014002331138,179.0,145.0,132.0,80.0,135.0,120.5068974947691
20200102,15,PM10,114.70121969370575,114.58631592899955,170.0,136.0,137.0,86.0,135.0,114.3285236382008
20200102,16,PM10,109.44271194533269,109.33201105857214,165.0,132.0,144.0,91.0,142.0,109.0848266416612
20200102,17,PM10,125.17291541067873,125.07970776457745,163.0,136.0,142.0,96.0,131.0,124.81295808490735
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,146.05503594274003
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,136.55799660647676
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,38.0,123.0,129.04079541508835
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,41.0,125.0,127.74365719569049
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,41.0,121.0,125.84578957946664
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,42.0,104.0,122.81274869567159
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,39.0,87.0,118.56520599030341
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,38.0,93.0,112.24901136122044
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,30.0,95.0,95.756720384206
20200103,12,PM10,61.0,88.0,82.53060606978944,82.0,81.0,33.0,82.56899445645182,82.36076799168973
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,39.0,69.2757623790602,69.09091848314016
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,38.0,59.73507226041696,59.56357582018078
20200103,15,PM10,52.0,73.0,63.0,73.0,59.0,39.0,60.856297743026076,60.679833537275606
20200103,16,PM10,60.0,66.0,72.0,75.0,64.0,41.0,60.89674158701281,60.714167718418956
20200103,17,PM10,61.0,67.0,75.0,77.0,70.0,46.0,64.02323979374981,63.82552948111838
20200103,18,PM10,69.0,70.0,79.0,80.0,79.0,52.0,68.77413305421905,68.55413196604337
20200103,19,PM10,78.0,71.0,90.0,83.0,91.0,61.0,74.50861062311779,74.26498367433646
20200103,20,PM10,89.0,82.0,96.0,90.0,95.0,64.0,81.25615254880701,80.9942494594809
20200103,21,PM10,94.0,102.0,101.0,104.0,100.0,59.0,87.62358761426638,87.35001775386833
20200103,22,PM10,104.0,110.0,104.0,111.0,100.0,56.0,92.55816680118957,92.27919668574384
20200103,23,PM10,112.0,111.0,107.0,111.0,99.0,56.0,96.16727783634987,95.88468515756382
20200104,0,PM10,116.0,114.0,108.0,107.0,105.0,57.0,98.82170530893738,98.53543311416925
20200104,1,PM10,118.0,127.0,115.0,104.0,107.0,55.0,104.04527067131079,103.76326666154655
