date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,132.0,115.0
20200101,17,PM10,121.0,155.62826210493589,158.0,108.0,158.0,156.69316875477082,113.0
20200101,18,PM10,121.0,152.38989521365784,169.0,123.0,162.0,143.0,111.0
20200101,19,PM10,119.0,147.01779954229804,174.0,123.0,141.0,132.0,118.0
20200101,20,PM10,119.0,151.11639388640026,167.0,115.0,131.0,125.0,122.0
20200101,21,PM10,120.0,148.5301747055446,154.0,117.0,129.0,125.0,121.0
20200101,22,PM10,126.0,140.71722407393258,150.0,122.0,127.0,126.0,123.0
20200101,23,PM10,131.39717946571554,133.55244692684545,142.0,126.0,123.0,127.0,121.0
20200102,0,PM10,130.4374136950327,132.51601816443653,141.0,127.0,121.0,128.0,116.0
20200102,1,PM10,128.0,132.12230539731712,138.0,126.0,119.0,125.0,110.0
20200102,2,PM10,129.0,137.64502620459535,132.0,130.0,119.0,124.0,110.0
20200102,3,PM10,126.0,136.4436722484261,132.0,144.0,119.0,124.0,110.0
20200102,4,PM10,126.0,123.83087780365834,124.79170937863606,144.0,121.0,121.0,112.0
20200102,5,PM10,115.70997894463885,117.09896834679117,117.85087498464105,130.0,125.0,122.0,112.0
20200102,6,PM10,123.0,112.0808475377988,112.6890846750593,133.0,123.0,122.0,112.0
20200102,7,PM10,127.0,114.265673290655,114.9047443144525,136.0,128.0,124.0,114.0
20200102,8,PM10,132.0,121.29117680549709,121.99258490083027,133.0,140.0,131.0,116.0
20200102,9,PM10,135.0,123.69053151620406,124.39824837104027,130.0,141.0,128.0,117.0
20200102,10,PM10,142.0,119.70621954913787,120.51169419109765,133.0,135.0,127.0,128.0
20200102,11,PM10,146.0,123.88229390403608,125.06782343697562,139.0,134.0,130.0,118.21583314324847
20200102,12,PM10,157.0,127.78446284587822,179.0,136.0,137.0,135.0,121.6913207893052
20200102,13,PM10,142.0,125.05981474088712,173.0,135.0,136.0,137.0,119.20315123371395
20200102,14,PM10,125.3857504435859,125.13663886594284,179.0,145.0,132.0,135.0,119.81500297160187
20200102,15,PM10,117.46854036218637,117.61122027309833,170.0,136.0,137.0,135.0,112.9002249474568
20200102,16,PM10,110.8193115391232,111.24796886056643,165.0,132.0,144.0,142.0,106.99566102656837
20200102,17,PM10,127.74348498506735,128.9354519617031,163.0,136.0,142.0,131.0,124.23259382597082
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,130.0,156.3771201681403
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,124.0,145.5543175773221
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,123.0,136.9302612618249
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,125.0,135.61757471135184
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,121.0,133.5141288006034
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,104.0,130.28333759030278
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,87.0,125.8576047232917
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,93.0,119.38443735528283
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,95.0,101.26347781041623
20200103,12,PM10,61.0,88.0,90.27444238503158,82.0,81.0,90.68621650597078,86.15408076850245
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,74.92501274480824,71.26110325029096
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,63.38328166976411,60.34503908034637
