date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,132.0,115.0
20200101,17,PM10,121.0,131.77419354838716,158.0,108.0,158.0,131.77419354838716,113.0
20200101,18,PM10,121.0,132.95463709677398,169.0,123.0,162.0,143.0,111.0
20200101,19,PM10,119.0,132.35946950604875,174.0,123.0,141.0,132.0,118.0
20200101,20,PM10,119.0,131.88481583133822,167.0,115.0,131.0,125.0,122.0
20200101,21,PM10,120.0,129.89790740526976,154.0,117.0,129.0,125.0,121.0
20200101,22,PM10,126.0,128.4132221193857,150.0,122.0,127.0,126.0,123.0
20200101,23,PM10,127.46447314685977,127.45763888143479,142.0,126.0,123.0,127.0,121.0
20200102,0,PM10,126.36200060542919,126.35274483311865,141.0,127.0,121.0,128.0,116.0
20200102,1,PM10,128.0,125.49450506090798,138.0,126.0,119.0,125.0,110.0
20200102,2,PM10,129.0,125.05581693611406,132.0,130.0,119.0,124.0,110.0
20200102,3,PM10,126.0,124.43276972403514,132.0,144.0,119.0,124.0,110.0
20200102,4,PM10,126.0,124.08887809500527,124.08887809500527,144.0,121.0,121.0,112.0
20200102,5,PM10,124.2088013206281,124.20699013325888,124.20794767255016,130.0,125.0,122.0,112.0
20200102,6,PM10,123.0,123.6991606013333,123.71468060525305,133.0,123.0,122.0,112.0
20200102,7,PM10,127.0,126.1620409498685,126.17457651206419,136.0,128.0,124.0,114.0
20200102,8,PM10,132.0,129.2613851871267,129.30272929056073,133.0,140.0,131.0,116.0
20200102,9,PM10,135.0,130.83101460259644,130.8584958869481,130.0,141.0,128.0,117.0
20200102,10,PM10,142.0,132.36424715433932,133.49751376747673,133.0,135.0,127.0,128.0
20200102,11,PM10,146.0,138.47673795641973,138.46739759385403,139.0,134.0,130.0,138.4863544946197
20200102,12,PM10,157.0,145.6977500102572,179.0,136.0,137.0,135.0,145.67664852047773
20200102,13,PM10,142.0,144.14092179909764,173.0,135.0,136.0,137.0,144.1409217990976
20200102,14,PM10,146.1021631588048,146.1021631588048,179.0,145.0,132.0,135.0,146.1021631588048
20200102,15,PM10,145.13801281056195,145.13801281056195,170.0,136.0,137.0,135.0,145.13801281056195
20200102,16,PM10,144.49074822427428,144.4848798699612,165.0,132.0,144.0,142.0,144.48220039456476
20200102,17,PM10,141.60272626214518,141.6199580859012,163.0,136.0,142.0,131.0,141.62029630149203
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,130.0,129.59128686278257
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,124.0,127.29972770309567
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,123.0,124.6305485000457
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,125.0,123.8250593459717
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,121.0,121.41594417700935
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,104.0,116.91827691584064
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,87.0,111.98179671658414
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,93.0,106.6124720950625
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,95.0,97.82341877771744
20200103,12,PM10,61.0,88.0,79.46271282332793,82.0,81.0,77.49227182443575,83.13290893564123
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,71.75304854357373,73.42047897289875
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,66.20259206565386,66.29942678100281
