Method,MAE,RMSE,SMAPE
LT,12.551534203771133,20.007214993055417,21.06276189113132
OK,10.93964751301276,16.395493605763463,18.477822326429468
RST,12.443014763241296,19.408120349067865,20.867826298165312
EST,10.634740701623087,15.659944109556555,18.413112935628266
EFIM,14.594898917522102,21.48427542873919,24.837170304238555
HST,9.536328198656973,14.186718574901047,16.304638595948244
STISE,10.767260265289984,15.563864926996304,18.43420857377231
BiLSTM,11.531024500605607,16.521298842995666,19.95515599560697
CGDST,9.069267862337377,13.588230239836335,15.655699115405007
FGDST,8.768886265887744,13.292136977348086,15.181930145373634
