date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,132.0,115.0
20200101,17,PM10,121.0,148.07692307692307,158.0,108.0,158.0,137.5,113.0
20200101,18,PM10,121.0,148.15384615384616,169.0,123.0,162.0,143.0,111.0
20200101,19,PM10,119.0,148.23076923076923,174.0,123.0,141.0,132.0,118.0
20200101,20,PM10,119.0,148.30769230769232,167.0,115.0,131.0,125.0,122.0
20200101,21,PM10,120.0,148.3846153846154,154.0,117.0,129.0,125.0,121.0
20200101,22,PM10,126.0,148.46153846153845,150.0,122.0,127.0,126.0,123.0
20200101,23,PM10,126.66666666666667,148.53846153846155,142.0,126.0,123.0,127.0,121.0
20200102,0,PM10,127.33333333333333,148.6153846153846,141.0,127.0,121.0,128.0,116.0
20200102,1,PM10,128.0,148.69230769230768,138.0,126.0,119.0,125.0,110.0
20200102,2,PM10,129.0,148.76923076923077,132.0,130.0,119.0,124.0,110.0
20200102,3,PM10,126.0,148.84615384615384,132.0,144.0,119.0,124.0,110.0
20200102,4,PM10,126.0,148.92307692307693,137.22222222222223,144.0,121.0,121.0,112.0
20200102,5,PM10,124.5,149.0,142.44444444444446,130.0,125.0,122.0,112.0
20200102,6,PM10,123.0,149.07692307692307,147.66666666666666,133.0,123.0,122.0,112.0
20200102,7,PM10,127.0,149.15384615384616,152.88888888888889,136.0,128.0,124.0,114.0
20200102,8,PM10,132.0,149.23076923076923,158.11111111111111,133.0,140.0,131.0,116.0
20200102,9,PM10,135.0,149.30769230769232,163.33333333333334,130.0,141.0,128.0,117.0
20200102,10,PM10,142.0,149.3846153846154,168.55555555555554,133.0,135.0,127.0,128.0
20200102,11,PM10,146.0,149.46153846153845,173.77777777777777,139.0,134.0,130.0,127.5
20200102,12,PM10,157.0,149.53846153846155,179.0,136.0,137.0,135.0,127.0
20200102,13,PM10,142.0,149.6153846153846,173.0,135.0,136.0,137.0,126.5
20200102,14,PM10,135.2,149.69230769230768,179.0,145.0,132.0,135.0,126.0
20200102,15,PM10,128.4,149.76923076923077,170.0,136.0,137.0,135.0,125.5
20200102,16,PM10,121.6,149.84615384615384,165.0,132.0,144.0,142.0,125.0
20200102,17,PM10,114.8,149.92307692307693,163.0,136.0,142.0,131.0,124.5
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,130.0,144.79166666666666
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,124.0,141.58333333333334
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,123.0,138.375
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,125.0,135.16666666666666
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,121.0,131.95833333333334
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,104.0,128.75
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,87.0,125.54166666666666
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,93.0,122.33333333333333
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,95.0,119.125
20200103,12,PM10,61.0,88.0,91.5,82.0,81.0,96.78260869565217,115.91666666666666
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,98.56521739130434,112.70833333333333
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,100.34782608695652,109.5
20200103,15,PM10,52.0,73.0,63.0,73.0,59.0,102.13043478260869,106.29166666666666
20200103,16,PM10,60.0,66.0,72.0,75.0,64.0,103.91304347826087,103.08333333333333
