date,hour,type,1431A,1432A,1433A,1434A,1437A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,132.0,115.0
20200101,17,PM10,121.0,131.60000000000002,158.0,108.0,158.0,131.60000000000002,113.0
20200101,18,PM10,121.0,138.16666666666669,169.0,123.0,162.0,143.0,111.0
20200101,19,PM10,119.0,134.49999999999997,174.0,123.0,141.0,132.0,118.0
20200101,20,PM10,119.0,129.8333333333333,167.0,115.0,131.0,125.0,122.0
20200101,21,PM10,120.0,127.66666666666666,154.0,117.0,129.0,125.0,121.0
20200101,22,PM10,126.0,129.0,150.0,122.0,127.0,126.0,123.0
20200101,23,PM10,127.80000000000003,127.80000000000003,142.0,126.0,123.0,127.0,121.0
20200102,0,PM10,126.60000000000002,126.60000000000002,141.0,127.0,121.0,128.0,116.0
20200102,1,PM10,128.0,119.38219782525073,138.0,126.0,119.0,125.0,110.0
20200102,2,PM10,129.0,121.60154918209949,132.0,130.0,119.0,124.0,110.0
20200102,3,PM10,126.0,125.83333333216821,132.0,144.0,119.0,124.0,110.0
20200102,4,PM10,126.0,124.8,124.8,144.0,121.0,121.0,112.0
20200102,5,PM10,123.40306468516727,123.18266528362102,123.77141476442047,130.0,125.0,122.0,112.0
20200102,6,PM10,123.0,122.92483545410411,123.56122439949263,133.0,123.0,122.0,112.0
20200102,7,PM10,127.0,127.14550146898712,127.5495392721217,136.0,128.0,124.0,114.0
20200102,8,PM10,132.0,129.33735632514487,130.12261310631354,133.0,140.0,131.0,116.0
20200102,9,PM10,135.0,130.37638819652898,126.88344879542086,130.0,141.0,128.0,117.0
20200102,10,PM10,142.0,132.60984367325793,131.89107013040677,133.0,135.0,127.0,128.0
20200102,11,PM10,146.0,138.82747164419135,136.05183865771403,139.0,134.0,130.0,137.89393943184575
20200102,12,PM10,157.0,148.79999999999046,179.0,136.0,137.0,135.0,148.80000000002437
20200102,13,PM10,142.0,138.13753812401322,173.0,135.0,136.0,137.0,151.9628752982189
20200102,14,PM10,132.44404703701636,140.06945887846268,179.0,145.0,132.0,135.0,162.123648415906
20200102,15,PM10,133.71128798379362,134.72704691108152,170.0,136.0,137.0,135.0,151.88215781445902
20200102,16,PM10,141.0389309979802,133.57708275543428,165.0,132.0,144.0,142.0,145.9256642552452
20200102,17,PM10,131.82707482492646,136.48331579442427,163.0,136.0,142.0,131.0,149.1458612367912
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,130.0,126.38294683067816
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,124.0,122.00887563874885
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,123.0,124.41439962264887
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,125.0,124.16666666666663
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,121.0,125.91573937551529
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,104.0,130.78105366377156
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,87.0,146.54743507815397
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,93.0,147.39125538744082
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,95.0,114.52847679615067
20200103,12,PM10,61.0,88.0,80.5972685915425,82.0,81.0,76.26126589721353,86.78043992937273
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,63.85059818378687,86.61549337609802
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,56.36508325424113,75.72621794133251
