Method,MAE,RMSE,SMAPE
LT,19.148038579604194,30.675062823819808,19.76733308019698
OK,17.5355549576744,26.928703962024922,18.255125519078497
RST,18.33248026302169,29.63473375304153,18.88751981191036
EST,17.70377012199371,27.00497568318082,18.36082551722314
EFIM,20.871188765467245,32.5024709155193,21.376079740184625
HST,16.075566961079513,24.776291580180477,16.965477023137225
STISE,17.68527839082112,26.841564783175286,18.64619728228443
BiLSTM,19.94513704932864,42.092188293999136,19.84074668398966
CGDST,15.07783752573652,23.851513782591837,15.941320001107762
FGDST,15.018904963444724,23.576243388342316,15.879105698768917
