date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,208.0,154.0,169.0,138.0,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,217.0,146.0,160.0,136.0,202.0,173.0,222.0,139.0,282.7499999999957,152.0,222.0,145.0,146.0
20200104,4,PM2.5,224.0,122.0,148.0,140.0,196.0,175.0,222.0,145.7499999999963,279.49999999999955,185.0,215.0,135.0,135.0
20200104,5,PM2.5,215.0,104.0,150.0,124.0,199.0,199.0,222.0,152.49999999999582,276.24999999999835,148.0,206.0,123.0,127.0
20200104,6,PM2.5,211.0,96.0,138.0,119.0,202.0,207.0,228.0,159.2499999999956,273.0,161.49999999999912,201.0,117.0,118.0
20200104,7,PM2.5,222.0,94.0,126.0,140.0,171.0,221.0,206.0,166.0,249.0,175.00000000000037,194.0,116.0,114.0
20200104,8,PM2.5,234.0,92.0,127.0,177.0,231.0,217.0,223.0,159.0,215.0,188.4999999999998,198.0,132.0,105.0
20200104,9,PM2.5,228.0,102.0,105.0,174.0,259.0,211.0,227.0,177.0,177.0,202.0,203.0,161.0,108.0
20200104,10,PM2.5,233.0,134.0,128.0,174.0,238.24999999999991,209.0,223.25000000000034,167.0,169.0,204.75000000000017,195.0,184.0,136.50000000000009
20200104,11,PM2.5,241.0,154.0,129.0,155.0,217.50000000000009,216.0,219.49999999999977,220.0,186.0,207.50000000000037,168.0,190.0,165.0000000000001
20200104,12,PM2.5,226.0,154.0,130.0,161.0,196.7500000000001,213.50000000000006,215.7499999999999,194.0,204.0,210.25,207.0,175.0,193.49999999999997
20200104,13,PM2.5,196.0,181.0,168.0,169.0,176.0,210.99999999999983,212.0,196.0,208.0,213.0,212.0,158.0,222.0
20200104,14,PM2.5,206.0,188.2500000000002,232.0,181.0,211.0,208.4999999999999,211.0,181.0,203.0,229.0,208.0,163.0,234.0
20200104,15,PM2.5,218.0,195.4999999999999,225.74999999999977,211.0,212.0,206.0,191.0,196.0,182.0,207.0,187.0,202.0,219.0
20200104,16,PM2.5,205.0,202.74999999999943,219.4999999999996,212.0,204.0,202.0,185.0,226.0,164.0,194.0,148.0,215.0,218.0
20200104,17,PM2.5,192.88553919254335,210.0,213.2500000000002,210.0,212.0,204.49999999999912,166.0,234.0,144.0,194.0,153.0,212.0,199.0
20200104,18,PM2.5,194.3535133010375,194.0,207.0,201.0,192.0,206.9999999999997,174.0,255.0,158.0,220.0,184.25000000000023,209.0,211.0
20200104,19,PM2.5,209.8985640173853,213.0,215.0,191.0,209.0,209.49999999999972,213.0,230.0,176.0,244.0,215.49999999999986,195.0,252.0
20200104,20,PM2.5,224.0,250.0,226.24999999999994,218.0,229.5,212.0,250.0,240.49999999999974,228.0,251.74999999999986,246.74999999999974,207.0,257.0
20200104,21,PM2.5,243.0,246.0,237.49999999999957,237.0,250.00000000000017,227.0,262.0,251.00000000000023,275.0,259.49999999999966,278.0,229.0,267.99999999999994
20200104,22,PM2.5,256.0,245.0,248.75000000000023,241.75000000000003,270.50000000000006,243.0,283.0,261.50000000000017,254.25000000000034,267.24999999999994,298.0,242.0,279.0000000000001
20200104,23,PM2.5,297.0,269.0,260.0,246.49999999999974,291.0,263.0,286.0,272.0,233.49999999999977,275.0,316.0,241.2499999999998,289.99999999999955
20200105,0,PM2.5,307.0,286.0,259.0,251.2499999999998,299.0,280.0,277.0,265.0,212.75000000000026,288.0,299.0,240.49999999999955,301.0
20200105,1,PM2.5,286.89735104395197,272.0,256.0,256.0,296.0,280.0,289.0,265.0,192.0,282.0,280.0,239.749999999999,290.0
20200105,2,PM2.5,262.0619309452286,261.0,249.0,241.0,287.0,252.0,248.0,265.0,176.0,242.0,263.0,239.0,269.0
20200105,3,PM2.5,243.30893139140812,222.0,245.0,249.0,254.50000000000244,252.0,200.0,273.0,164.0,204.0,218.0,242.0,222.0
20200105,4,PM2.5,196.0,199.0,233.0,212.0,222.00000000000082,218.0,178.0,277.0,162.0,209.0,160.0,236.0,193.0
20200105,5,PM2.5,180.0,171.25000000000105,179.0,185.0,189.50000000000082,186.0,153.00000000000077,284.0,141.0,156.0,134.0,202.0,145.0
20200105,6,PM2.5,148.0,143.50000000000105,145.0,158.0,157.0,161.0,127.9999999999999,296.0,119.0,137.0,94.0,181.25000000000105,104.0
20200105,7,PM2.5,128.0,115.7500000000012,117.0,137.0,139.0,138.0,103.00000000000016,286.0,92.0,107.0,70.0,160.50000000000125,75.0
20200105,8,PM2.5,109.0,88.0,109.0,126.74999999999913,119.0,122.0,78.0,266.24999999999966,73.0,94.0,66.0,139.75000000000156,66.0
20200105,9,PM2.5,101.0,112.0,84.0,116.49999999999928,110.0,105.0,75.0,246.49999999999986,57.0,98.0,61.0,119.0,103.0
20200105,10,PM2.5,100.0,100.50000000000145,90.0,106.24999999999964,105.0,101.0,69.0,226.7499999999989,51.0,75.0,58.49999999999831,104.0,66.0
20200105,11,PM2.5,93.0,89.00000000000124,84.50000000000047,96.0,100.0,95.24999999999791,56.0,207.0,48.0,72.0,55.99999999999883,103.0,54.0
20200105,12,PM2.5,82.0,77.5000000000005,79.00000000000055,96.0,88.0,89.4999999999991,54.0,135.0,53.0,66.0,53.49999999999956,104.0,47.0
20200105,13,PM2.5,75.0,66.0,73.50000000000051,81.0,80.0,83.74999999999949,53.0,120.0,52.0,66.0,51.0,92.0,48.0
20200105,14,PM2.5,68.0,63.0,68.0,82.0,77.0,78.0,59.0,142.0,55.0,69.0,56.0,86.0,53.0
20200116,1,PM2.5,176.0,159.0,153.0,164.0,172.0,180.0,192.0,197.0,165.0,174.0,198.0,172.0,170.0
20200116,2,PM2.5,180.0,158.0,150.0,162.0,176.0,181.0,190.0,192.0,157.0,170.0,187.0,174.0,162.0
20200116,3,PM2.5,181.0,151.0,146.0,158.0,167.0,176.0,195.0,180.0,156.74999999999966,156.0,183.0,159.0,159.0
20200116,4,PM2.5,175.0,148.0,144.0,146.0,160.0,172.0,195.0,168.0,156.49999999999991,164.0,186.0,145.0,151.0
20200116,5,PM2.5,180.0,147.00000000000003,140.0,135.0,154.0,172.0,203.0,156.0,156.25000000000009,171.0,183.0,136.0,150.0
20200116,6,PM2.5,179.0,146.0,135.0,129.0,172.0,168.0,197.0,152.0,156.0,174.0,174.0,133.0,184.0
20200116,7,PM2.5,173.0,144.99999999999997,130.0,127.0,176.0,162.0,201.0,150.0,158.0,174.0,178.0,129.0,202.0
20200116,8,PM2.5,173.0,144.0,139.0,126.0,168.0,160.0,184.0,147.50000000000009,162.50000000000006,176.0,186.0,128.0,179.0
20200116,9,PM2.5,175.0,140.0,136.0,124.0,168.0,159.0,181.0,145.0,166.99999999999986,176.74999999999997,181.0,128.0,184.0
20200116,10,PM2.5,182.0,151.0,135.0,124.0,176.0,173.0,196.0,142.50000000000003,171.49999999999974,177.50000000000003,187.00000000000006,127.0,183.75
20200116,11,PM2.5,187.0,165.0,148.0,127.0,182.0,177.0,195.0,140.0,176.0,178.24999999999997,193.00000000000006,121.0,183.5000000000003
20200116,12,PM2.5,192.0,168.0,162.0,124.0,183.0,157.0,203.0,145.0,186.0,179.0,199.00000000000006,122.0,183.25000000000017
20200116,13,PM2.5,164.7865229317319,176.0,144.0,118.0,182.0,143.0,211.0,142.0,196.0,195.0,205.0,108.0,183.0
20200116,14,PM2.5,160.22768256069574,179.0,157.0,110.0,184.0,130.0,212.0,134.0,198.0,200.0,197.0,109.0,176.0
20200116,15,PM2.5,159.73528959064618,182.0,172.0,115.0,185.49999999999983,130.0,216.0,123.49999999999976,198.0,200.0,183.0,112.0,179.0
