date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,208.0,154.0,169.0,138.0,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,217.0,146.0,160.0,136.0,202.0,173.0,222.0,139.0,,152.0,222.0,145.0,146.0
20200104,4,PM2.5,224.0,122.0,148.0,140.0,196.0,175.0,222.0,158.2120819091797,,185.0,215.0,135.0,135.0
20200104,5,PM2.5,215.0,104.0,150.0,124.0,199.0,199.0,222.0,,205.39718627929688,148.0,206.0,123.0,127.0
20200104,6,PM2.5,211.0,96.0,138.0,119.0,202.0,207.0,228.0,,273.0,,201.0,117.0,118.0
20200104,7,PM2.5,222.0,94.0,126.0,140.0,171.0,221.0,206.0,166.0,249.0,,194.0,116.0,114.0
20200104,8,PM2.5,234.0,92.0,127.0,177.0,231.0,217.0,223.0,159.0,215.0,,198.0,132.0,105.0
20200104,9,PM2.5,228.0,102.0,105.0,174.0,259.0,211.0,227.0,177.0,177.0,202.0,203.0,161.0,108.0
20200104,10,PM2.5,233.0,134.0,128.0,174.0,206.9296875,209.0,195.3008575439453,167.0,169.0,,195.0,184.0,
20200104,11,PM2.5,241.0,154.0,129.0,155.0,,216.0,199.87649536132812,220.0,186.0,190.713134765625,168.0,190.0,
20200104,12,PM2.5,226.0,154.0,130.0,161.0,195.6072540283203,,,194.0,204.0,182.37376403808594,207.0,175.0,
20200104,13,PM2.5,196.0,181.0,168.0,169.0,176.0,198.44407653808594,212.0,196.0,208.0,213.0,212.0,158.0,222.0
20200104,14,PM2.5,206.0,208.63192749023438,232.0,181.0,211.0,,211.0,181.0,203.0,229.0,208.0,163.0,234.0
20200104,15,PM2.5,218.0,,,211.0,212.0,206.0,191.0,196.0,182.0,207.0,187.0,202.0,219.0
20200104,16,PM2.5,205.0,202.61480712890625,,212.0,204.0,202.0,185.0,226.0,164.0,194.0,148.0,215.0,218.0
20200104,17,PM2.5,,210.0,,210.0,212.0,,166.0,234.0,144.0,194.0,153.0,212.0,199.0
20200104,18,PM2.5,,194.0,207.0,201.0,192.0,202.14654541015625,174.0,255.0,158.0,220.0,,209.0,211.0
20200104,19,PM2.5,,213.0,215.0,191.0,209.0,,213.0,230.0,176.0,244.0,188.10826110839844,195.0,252.0
20200104,20,PM2.5,224.0,250.0,,218.0,221.55596923828125,212.0,250.0,230.36793518066406,228.0,235.63070678710938,,207.0,257.0
20200104,21,PM2.5,243.0,246.0,,237.0,,227.0,262.0,,275.0,,278.0,229.0,
20200104,22,PM2.5,256.0,245.0,251.10565185546875,,,243.0,283.0,,266.4164123535156,260.5012512207031,298.0,242.0,
20200104,23,PM2.5,297.0,269.0,260.0,,291.0,263.0,286.0,272.0,,275.0,316.0,264.4612121582031,280.14093017578125
20200105,0,PM2.5,307.0,286.0,259.0,269.3375549316406,299.0,280.0,277.0,265.0,,288.0,299.0,,301.0
20200105,1,PM2.5,,272.0,256.0,256.0,296.0,280.0,289.0,265.0,192.0,282.0,280.0,,290.0
20200105,2,PM2.5,270.443603515625,261.0,249.0,241.0,287.0,252.0,248.0,265.0,176.0,242.0,263.0,239.0,269.0
20200105,3,PM2.5,,222.0,245.0,249.0,,252.0,200.0,273.0,164.0,204.0,218.0,242.0,222.0
20200105,4,PM2.5,196.0,199.0,233.0,212.0,,218.0,178.0,277.0,162.0,209.0,160.0,236.0,193.0
20200105,5,PM2.5,180.0,,179.0,185.0,169.1667022705078,186.0,178.6136932373047,284.0,141.0,156.0,134.0,202.0,145.0
20200105,6,PM2.5,148.0,,145.0,158.0,157.0,161.0,,296.0,119.0,137.0,94.0,,104.0
20200105,7,PM2.5,128.0,,117.0,137.0,139.0,138.0,,286.0,92.0,107.0,70.0,126.32427978515625,75.0
20200105,8,PM2.5,109.0,88.0,109.0,,119.0,122.0,78.0,,73.0,94.0,66.0,,66.0
20200105,9,PM2.5,101.0,112.0,84.0,,110.0,105.0,75.0,,57.0,98.0,61.0,119.0,103.0
20200105,10,PM2.5,100.0,,90.0,,105.0,101.0,69.0,,51.0,75.0,,104.0,66.0
20200105,11,PM2.5,93.0,,,96.0,100.0,,56.0,207.0,48.0,72.0,,103.0,54.0
