date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,161.0,158.0,108.0,158.0,68.0,138.0,113.0
20200101,18,PM10,121.0,156.0,169.0,,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,142.0,174.0,149.98897627411316,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,133.0,167.0,,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,,154.0,144.29243469861865,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,,150.0,,127.0,72.0,126.0,123.0
20200101,23,PM10,128.0,,142.0,,123.0,69.0,127.0,121.0
20200102,0,PM10,132.0,131.13790957741418,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,,138.0,,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,128.86615011815906,132.0,,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,128.4657650521685,132.0,129.93398998964156,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,,130.0,,121.0,70.0,121.0,112.0
20200102,5,PM10,123.0,130.14476388941432,129.0,,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,131.61447306302216,133.0,,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,,130.0,,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,,126.0,,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,,133.0,,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,,138.0,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,141.76840457098925,158.0,139.0,134.0,88.0,130.0,121.0
20200102,12,PM10,157.0,143.54529496564084,179.0,136.0,137.0,80.0,135.0,125.0
20200102,13,PM10,142.0,144.6831227551953,173.0,135.0,136.0,87.0,137.0,143.0
20200102,14,PM10,143.0,,179.0,145.0,132.0,80.0,135.0,117.0
20200102,15,PM10,116.0,141.81474365998045,170.0,136.0,137.0,86.0,135.0,121.0
20200102,16,PM10,130.0,140.9628848833769,165.0,132.0,144.0,91.0,142.0,120.0
20200102,17,PM10,132.0,,163.0,136.0,142.0,96.0,131.0,123.0
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,145.0
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,146.0
20200103,5,PM10,128.0,134.6324817135742,,122.0,127.0,38.0,123.0,143.0
20200103,6,PM10,121.0,127.13992165024118,127.13992165024118,116.0,132.0,41.0,125.0,140.0
20200103,7,PM10,112.0,,120.0,116.0,127.0,41.0,121.0,135.0
20200103,8,PM10,98.0,,116.0,127.0,120.0,42.0,104.0,134.0
20200103,9,PM10,90.0,102.66666666666667,125.0,127.0,100.0,39.0,,135.0
20200103,10,PM10,82.0,93.60102114035473,131.0,105.0,86.0,38.0,93.60102114035473,
20200103,11,PM10,71.0,,106.0,113.0,92.0,30.0,,82.4
20200103,12,PM10,61.0,,89.0,,81.0,33.0,,
20200103,13,PM10,,,77.0,,65.0,39.0,,
20200103,14,PM10,,,69.0,,58.0,38.0,,
20200103,15,PM10,51.0,51.0,63.0,51.0,,39.0,,
20200103,16,PM10,60.0,,72.0,,57.666666666666664,41.0,,
20200103,17,PM10,61.0,,75.0,,,46.0,,
20200103,18,PM10,69.0,,79.0,,,52.0,,
20200103,19,PM10,78.0,,90.0,,76.33333333333333,61.0,76.33333333333333,
20200103,20,PM10,89.0,,96.0,,,64.0,,
20200103,21,PM10,94.0,97.5,101.0,97.5,,97.5,,
20200103,22,PM10,104.0,,104.0,,,104.0,,
20200103,23,PM10,112.0,,107.0,,,56.0,,
20200104,0,PM10,116.0,,108.0,93.66666666666667,,57.0,,
20200104,1,PM10,118.0,99.75,115.0,,,55.0,111.0,
20200104,2,PM10,124.0,,117.0,,,56.0,107.0,101.0
20200104,3,PM10,119.0,102.4,118.0,116.0,,58.0,101.0,
20200104,4,PM10,124.0,,122.0,115.0,,61.0,101.0,104.6
20200104,5,PM10,116.0,,120.0,111.0,,60.0,102.0,
20200104,6,PM10,125.0,112.27504320344374,103.0,96.0,,60.0,101.0,
20200104,7,PM10,126.0,111.36089598371738,103.0,97.0,110.9901090599812,,98.0,112.30523504015198
20200104,8,PM10,119.0,,110.0,99.0,93.0,121.68113615058627,92.0,113.73772699268028
20200104,9,PM10,117.0,117.64457045254352,115.0,118.0,110.0,,114.0,
20200104,10,PM10,117.0,,109.0,120.0,136.0,130.2816413826269,136.0,
20200104,11,PM10,139.0,,119.0,128.0,134.0,,141.0,133.86174262605346
20200104,12,PM10,145.0,,123.0,117.0,147.0,142.01766966119058,157.0,
20200104,13,PM10,143.0,148.55782013410618,158.0,122.0,154.0,145.76956505290033,164.0,149.4687886147772
