Method,MAE,RMSE,SMAPE
LT,12.148557773273804,18.28202407627889,26.64748730905522
OK,13.382908158567044,21.18770302787635,27.065547441734296
RST,12.029438301105635,17.861534719078527,26.341708255834146
EST,13.687251186526835,20.9458752425382,27.91204885752107
EFIM,15.843698308102267,23.26085186617516,31.476262368861903
HST,10.731232214553863,15.749751362308276,24.22103102319338
STISE,12.598132491702126,18.305084869554552,27.839493564395056
BiLSTM,14.308346073396509,21.17399828294005,30.120196036281857
CGDST,10.608054512937397,15.582963139373982,24.209189901469593
FGDST,10.398190587056439,15.391408063127278,23.628322868405537
