date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,161.0,158.0,108.0,158.0,68.0,138.0,113.0
20200101,18,PM10,121.0,156.0,169.0,162.56015340005126,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,142.0,174.0,150.75172137086133,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,133.0,167.0,138.45444248081694,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,125.31162189710423,154.0,134.27362431979168,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,124.76064899814162,150.0,134.25203378734693,127.0,72.0,126.0,123.0
20200101,23,PM10,128.0,121.54922333403809,142.0,128.89029033919073,123.0,69.0,127.0,121.0
20200102,0,PM10,132.0,118.75122684310811,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,115.17295254658335,138.0,123.64557925250556,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,115.31247990609187,132.0,121.70880437191715,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,114.94870624000986,132.0,121.68104196922712,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,117.28459104615472,130.0,122.70095533272536,121.0,70.0,121.0,112.0
20200102,5,PM10,123.0,119.03149249126247,129.0,124.55138647173759,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,118.23432115265089,133.0,124.7386234883361,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,122.31841140074087,130.0,126.77631475762308,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,129.2539552433641,126.0,132.14401733819062,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,131.1041572622043,133.0,135.49761113975458,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,131.8039214141989,138.0,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,132.41874106995502,158.0,139.0,134.0,88.0,130.0,121.0
20200102,12,PM10,157.0,137.76162488472096,179.0,136.0,137.0,80.0,135.0,125.0
20200102,13,PM10,142.0,136.06803358936187,173.0,135.0,136.0,87.0,137.0,143.0
20200102,14,PM10,143.0,133.93456501644567,179.0,145.0,132.0,80.0,135.0,117.0
20200102,15,PM10,116.0,131.36962332265992,170.0,136.0,137.0,86.0,135.0,121.0
20200102,16,PM10,130.0,126.69502696425238,165.0,132.0,144.0,91.0,142.0,120.0
20200102,17,PM10,132.0,131.65429801086967,163.0,136.0,142.0,96.0,131.0,123.0
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,145.0
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,146.0
20200103,5,PM10,128.0,127.5773163817125,125.52091261301382,122.0,127.0,38.0,123.0,143.0
20200103,6,PM10,121.0,123.72038870077704,122.76533553026238,116.0,132.0,41.0,125.0,140.0
20200103,7,PM10,112.0,120.72084391426918,120.0,116.0,127.0,41.0,121.0,135.0
20200103,8,PM10,98.0,125.89455006120079,116.0,127.0,120.0,42.0,104.0,134.0
20200103,9,PM10,90.0,119.17148357694052,125.0,127.0,100.0,39.0,98.98649148050802,135.0
20200103,10,PM10,82.0,97.01855117155681,131.0,105.0,86.0,38.0,89.20960347139379,118.98794205538131
20200103,11,PM10,71.0,104.12922752083904,106.0,113.0,92.0,30.0,87.85613051884985,112.65103081619766
20200103,12,PM10,61.0,80.27381204247591,89.0,84.88564414434596,81.0,33.0,77.41697815337176,87.33428318286879
20200103,13,PM10,60.665669154683584,67.59759796888048,77.0,70.4881141769714,65.0,39.0,65.12401206469843,74.09127911311768
20200103,14,PM10,55.13506793533228,60.638723453283895,69.0,62.945849781667604,58.0,38.0,58.629410525533345,65.87172219171994
20200103,15,PM10,51.0,51.0,63.0,51.0,51.0,39.0,51.0,51.0
20200103,16,PM10,60.0,66.77664907209004,72.0,68.94261220235154,66.25190233488392,41.0,65.40981798091005,70.6668413579658
20200103,17,PM10,61.0,69.05790263402682,75.0,71.41486609355215,68.2770841382335,46.0,67.30903629447158,73.44910940435615
20200103,18,PM10,69.0,74.6224939705529,79.0,76.45513661043263,74.21265380854089,52.0,73.50857528136608,77.88830823069775
20200103,19,PM10,78.0,84.8190152255566,90.0,86.93753830211212,84.24721342721944,61.0,83.40914318558258,88.66808633100658
20200103,20,PM10,89.0,92.65824747418121,96.0,94.2518296738712,92.67957001118101,64.0,92.16042260635126,95.21366118807147
20200103,21,PM10,94.0,97.5,101.0,97.5,97.5,97.5,97.5,97.5
20200103,22,PM10,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
20200103,23,PM10,112.0,107.82244456542534,107.0,108.43606497750447,109.5448903679056,56.0,109.76747450862385,107.5156955040872
