Method,MAE,RMSE,SMAPE
LT,7.694393717716761,11.802549886387967,23.23704755797483
OK,7.329020609812813,11.202594250271556,20.632582013348134
RST,7.792649530683763,11.963042163240207,23.0491160376942
EST,7.335863590259723,10.808371092339522,21.089944954321467
EFIM,8.901418807543148,12.701383502093075,26.07373102229372
HST,6.357256560207125,9.425559296074637,18.924739670809792
STISE,7.132585031686504,10.110291834454765,21.57836403917211
BiLSTM,8.167751577774737,11.341060804801106,24.939867323974386
CGDST,5.888998435911001,8.754222822289329,17.648477298728128
FGDST,5.773446003261932,8.64039926638435,17.471873563133432
