date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,123.44444444444483,158.0,108.0,158.0,68.0,123.44444444444487,113.0
20200101,18,PM10,121.0,124.15915915915937,169.0,123.0,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,123.51481210941034,174.0,123.0,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,123.29471137674247,167.0,115.0,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,121.16164690592794,154.0,117.0,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,119.94326604441764,150.0,122.0,127.0,72.0,126.0,123.0
20200101,23,PM10,118.28871179858164,118.28871179858164,142.0,126.0,123.0,69.0,127.0,121.0
20200102,0,PM10,117.3477969344869,117.34779693448698,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,116.737108580166,138.0,126.0,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,116.37835690271963,132.0,130.0,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,115.91516074949702,132.0,144.0,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,115.8270762924916,115.8270762924916,144.0,121.0,70.0,121.0,112.0
20200102,5,PM10,116.62331252528746,116.62331252528746,116.62331252528746,130.0,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,116.96411303774202,116.95628032970808,133.0,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,119.82413003230475,119.82450239871869,136.0,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,120.36967722936684,120.36967722936684,133.0,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,122.40569657241738,122.40569657241738,130.0,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,124.68861515001822,124.65831951225964,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,128.70146516328157,128.69660583778003,139.0,134.0,88.0,130.0,128.70429254436712
20200102,12,PM10,157.0,132.7573949780426,179.0,136.0,137.0,80.0,135.0,132.7505360251711
20200102,13,PM10,142.0,133.0503217046453,173.0,135.0,136.0,87.0,137.0,133.0503217046453
20200102,14,PM10,134.66479272298415,134.66479272298415,179.0,145.0,132.0,80.0,135.0,134.66479272298415
20200102,15,PM10,134.09983940574975,134.09983940574975,170.0,136.0,137.0,86.0,135.0,134.09983940574975
20200102,16,PM10,133.4380260438945,133.45104507693384,165.0,132.0,144.0,91.0,142.0,133.45205460303225
20200102,17,PM10,132.1289140503916,132.14208281225237,163.0,136.0,142.0,96.0,131.0,132.14317464088703
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,118.36804334255356
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,114.90577322465444
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,38.0,123.0,112.60199504235665
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,41.0,125.0,110.84464046674648
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,41.0,121.0,109.11659172843397
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,42.0,104.0,105.9614235536338
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,39.0,87.0,101.11862268650437
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,38.0,93.0,95.72192157352556
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,30.0,95.0,87.02953701991242
20200103,12,PM10,61.0,88.0,71.9440230678573,82.0,81.0,33.0,71.81322600076074,72.19998309210852
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,39.0,66.63628895993601,66.9286128573717
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,38.0,63.785421817436735,63.797185995222755
20200103,15,PM10,52.0,73.0,63.0,73.0,59.0,39.0,63.210220871469616,63.210220871469616
20200103,16,PM10,60.0,66.0,72.0,75.0,64.0,41.0,63.46045386294893,63.52262300430512
20200103,17,PM10,61.0,67.0,75.0,77.0,70.0,46.0,66.47154698303648,66.6757582746575
20200103,18,PM10,69.0,70.0,79.0,80.0,79.0,52.0,72.13709285861148,72.50139639846955
20200103,19,PM10,78.0,71.0,90.0,83.0,91.0,61.0,80.15337405267805,79.98678727766638
20200103,20,PM10,89.0,82.0,96.0,90.0,95.0,64.0,86.61276517236489,86.77779872387067
20200103,21,PM10,94.0,102.0,101.0,104.0,100.0,59.0,93.07482721724139,93.28470789696868
20200103,22,PM10,104.0,110.0,104.0,111.0,100.0,56.0,96.11851431684875,96.15172112731686
20200103,23,PM10,112.0,111.0,107.0,111.0,99.0,56.0,99.14780491906569,99.19197231887588
20200104,0,PM10,116.0,114.0,108.0,107.0,105.0,57.0,100.88717957982588,100.91145488586697
20200104,1,PM10,118.0,127.0,115.0,104.0,107.0,55.0,101.08966890581827,101.08966890581827
