date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,,158.0,108.0,158.0,68.0,141.61188662387002,113.0
20200101,18,PM10,121.0,,169.0,123.0,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,,174.0,123.0,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,137.37946073082765,167.0,115.0,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,,154.0,117.0,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,,150.0,122.0,127.0,72.0,126.0,123.0
20200101,23,PM10,,,142.0,126.0,123.0,69.0,127.0,121.0
20200102,0,PM10,123.14984271420201,,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,,138.0,126.0,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,135.22891857411278,132.0,130.0,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,,132.0,144.0,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,140.1524712777413,136.63197497157563,144.0,121.0,70.0,121.0,112.0
20200102,5,PM10,,,,130.0,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,,,133.0,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,,142.27614936520382,136.0,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,141.34479353009192,,133.0,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,,,130.0,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,,,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,148.01728843263788,155.14403034894957,139.0,134.0,88.0,130.0,139.23331289892192
20200102,12,PM10,157.0,148.0701028585725,179.0,136.0,137.0,80.0,135.0,150.06642855564863
20200102,13,PM10,142.0,144.9259569128348,173.0,135.0,136.0,87.0,137.0,
20200102,14,PM10,,149.2783482905154,179.0,145.0,132.0,80.0,135.0,
20200102,15,PM10,132.06157651914998,,170.0,136.0,137.0,86.0,135.0,
20200102,16,PM10,133.24059607808073,,165.0,132.0,144.0,91.0,142.0,142.7505176878226
20200102,17,PM10,127.47156724891482,,163.0,136.0,142.0,96.0,131.0,
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,134.29321454149914
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,38.0,123.0,
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,41.0,125.0,
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,41.0,121.0,
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,42.0,104.0,
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,39.0,87.0,
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,38.0,93.0,
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,30.0,95.0,
20200103,12,PM10,61.0,88.0,86.61821403430574,82.0,81.0,33.0,,
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,39.0,,
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,38.0,,
20200103,15,PM10,52.0,73.0,63.0,73.0,59.0,39.0,,
20200103,16,PM10,60.0,66.0,72.0,75.0,64.0,41.0,80.35886304361844,
20200103,17,PM10,61.0,67.0,75.0,77.0,70.0,46.0,,
20200103,18,PM10,69.0,70.0,79.0,80.0,79.0,52.0,90.67451141316715,
20200103,19,PM10,78.0,71.0,90.0,83.0,91.0,61.0,99.25453687453569,
20200103,20,PM10,89.0,82.0,96.0,90.0,95.0,64.0,,
20200103,21,PM10,94.0,102.0,101.0,104.0,100.0,59.0,,
20200103,22,PM10,104.0,110.0,104.0,111.0,100.0,56.0,,
20200103,23,PM10,112.0,111.0,107.0,111.0,99.0,56.0,,
20200104,0,PM10,116.0,114.0,108.0,107.0,105.0,57.0,,
20200104,1,PM10,118.0,127.0,115.0,104.0,107.0,55.0,,
20200104,2,PM10,124.0,128.0,117.0,111.0,104.0,56.0,,71.0
20200104,3,PM10,119.0,130.0,118.0,115.9767447080211,100.0,58.0,116.1929737358522,73.0
20200104,4,PM10,124.0,132.0,122.0,115.0,99.0,61.0,,74.0
20200104,5,PM10,116.0,137.0,120.0,111.0,99.0,60.0,,70.0
20200104,6,PM10,125.0,127.0,103.0,96.0,100.0,60.0,,
20200104,7,PM10,126.0,127.0,103.0,97.0,98.0,62.0,,70.0
20200104,8,PM10,119.0,132.0,110.0,99.0,,65.0,121.2696888575417,73.0
20200104,9,PM10,117.0,138.0,115.0,118.0,110.0,67.0,,75.0
20200104,10,PM10,117.0,165.0,109.0,120.0,136.0,70.0,136.0,84.0
20200104,11,PM10,139.0,178.0,119.0,128.0,134.0,76.0,141.0,87.0
