date,hour,type,1431A,1432A,1433A,1434A,1437A,1438A,2880A,3136A
20200101,13,PM10,106.0,114.0,139.0,104.0,101.0,61.0,109.0,114.0
20200101,14,PM10,112.0,122.0,140.0,99.0,122.0,69.0,114.0,116.0
20200101,15,PM10,116.0,123.0,146.0,111.0,134.0,77.0,122.0,121.0
20200101,16,PM10,114.0,148.0,156.0,109.0,144.0,73.0,132.0,115.0
20200101,17,PM10,121.0,148.07692307692312,158.0,108.0,158.0,68.0,137.49999999999991,113.0
20200101,18,PM10,121.0,148.15384615384608,169.0,123.0,162.0,71.0,143.0,111.0
20200101,19,PM10,119.0,148.23076923076937,174.0,123.0,141.0,70.0,132.0,118.0
20200101,20,PM10,119.0,148.3076923076924,167.0,115.0,131.0,74.0,125.0,122.0
20200101,21,PM10,120.0,148.3846153846155,154.0,117.0,129.0,77.0,125.0,121.0
20200101,22,PM10,126.0,148.4615384615386,150.0,122.0,127.0,72.0,126.0,123.0
20200101,23,PM10,121.04374341272964,119.66213758866508,142.0,126.0,123.0,69.0,127.0,121.0
20200102,0,PM10,119.38216060156681,118.10335864969365,141.0,127.0,121.0,54.0,128.0,116.0
20200102,1,PM10,128.0,148.69230769230774,138.0,126.0,119.0,69.0,125.0,110.0
20200102,2,PM10,129.0,148.7692307692309,132.0,130.0,119.0,68.0,124.0,110.0
20200102,3,PM10,126.0,148.846153846154,132.0,144.0,119.0,71.0,124.0,110.0
20200102,4,PM10,126.0,148.9230769230771,137.2222222222226,144.0,121.0,70.0,121.0,112.0
20200102,5,PM10,119.37337440117122,120.08958528494612,121.59929697553193,130.0,125.0,72.0,122.0,112.0
20200102,6,PM10,123.0,149.07692307692307,147.66666666666669,133.0,123.0,84.0,122.0,112.0
20200102,7,PM10,127.0,149.1538461538461,152.88888888888886,136.0,128.0,94.0,124.0,114.0
20200102,8,PM10,132.0,149.2307692307693,158.1111111111106,133.0,140.0,80.0,131.0,116.0
20200102,9,PM10,135.0,149.3076923076925,163.3333333333333,130.0,141.0,72.0,128.0,117.0
20200102,10,PM10,142.0,149.3846153846156,168.55555555555554,133.0,135.0,79.0,127.0,128.0
20200102,11,PM10,146.0,149.46153846153854,173.7777777777779,139.0,134.0,88.0,130.0,127.50000000000077
20200102,12,PM10,157.0,149.53846153846177,179.0,136.0,137.0,80.0,135.0,126.99999999999994
20200102,13,PM10,142.0,149.61538461538467,173.0,135.0,136.0,87.0,137.0,126.50000000000001
20200102,14,PM10,131.17254899650197,136.31483435980405,179.0,145.0,132.0,80.0,135.0,126.00000000000053
20200102,15,PM10,131.5018944736119,132.32020242954826,170.0,136.0,137.0,86.0,135.0,125.50000000000007
20200102,16,PM10,135.13046055169403,132.71798115648895,165.0,132.0,144.0,91.0,142.0,124.99999999999991
20200102,17,PM10,133.3695100066172,132.0085907122807,163.0,136.0,142.0,96.0,131.0,124.50000000000013
20200102,18,PM10,108.0,150.0,167.0,144.0,142.0,96.0,118.0,124.0
20200102,19,PM10,100.0,155.0,164.0,147.0,116.0,100.0,108.0,132.0
20200102,21,PM10,102.0,150.0,135.0,132.0,113.0,81.0,94.0,151.0
20200102,22,PM10,107.0,150.0,139.0,135.0,118.0,50.0,95.0,150.0
20200102,23,PM10,127.0,146.0,139.0,138.0,124.0,47.0,106.0,145.0
20200103,0,PM10,130.0,155.0,136.0,150.0,130.0,46.0,116.0,142.0
20200103,1,PM10,132.0,156.0,134.0,149.0,131.0,46.0,126.0,144.0
20200103,2,PM10,132.0,154.0,108.0,148.0,125.0,43.0,129.0,148.0
20200103,3,PM10,123.0,146.0,93.0,140.0,127.0,44.0,130.0,144.79166666666723
20200103,4,PM10,130.0,139.0,98.0,134.0,122.0,40.0,124.0,141.58333333333388
20200103,5,PM10,128.0,136.0,113.0,122.0,127.0,38.0,123.0,138.3749999999999
20200103,6,PM10,121.0,132.0,119.0,116.0,132.0,41.0,125.0,135.16666666666646
20200103,7,PM10,112.0,133.0,120.0,116.0,127.0,41.0,121.0,131.9583333333331
20200103,8,PM10,98.0,135.0,116.0,127.0,120.0,42.0,104.0,128.75000000000034
20200103,9,PM10,90.0,147.0,125.0,127.0,100.0,39.0,87.0,125.5416666666675
20200103,10,PM10,82.0,148.0,131.0,105.0,86.0,38.0,93.0,122.33333333333377
20200103,11,PM10,71.0,109.0,106.0,113.0,92.0,30.0,95.0,119.1250000000005
20200103,12,PM10,61.0,88.0,91.50000000000098,82.0,81.0,33.0,96.78260869565197,115.91666666666606
20200103,13,PM10,59.0,89.0,77.0,72.0,65.0,39.0,98.5652173913044,112.70833333333302
20200103,14,PM10,49.0,76.0,69.0,64.0,58.0,38.0,100.34782608695656,109.49999999999983
20200103,15,PM10,52.0,73.0,63.0,73.0,59.0,39.0,102.13043478260876,106.29166666666661
20200103,16,PM10,60.0,66.0,72.0,75.0,64.0,41.0,103.91304347826082,103.08333333333317
20200103,17,PM10,61.0,67.0,75.0,77.0,70.0,46.0,105.69565217391303,99.8749999999999
20200103,18,PM10,69.0,70.0,79.0,80.0,79.0,52.0,107.47826086956526,96.66666666666622
20200103,19,PM10,78.0,71.0,90.0,83.0,91.0,61.0,109.26086956521738,93.4583333333327
20200103,20,PM10,89.0,82.0,96.0,90.0,95.0,64.0,111.04347826086948,90.24999999999989
20200103,21,PM10,94.0,102.0,101.0,104.0,100.0,59.0,112.82608695652164,87.04166666666666
20200103,22,PM10,104.0,110.0,104.0,111.0,100.0,56.0,114.60869565217389,83.83333333333343
20200103,23,PM10,112.0,111.0,107.0,111.0,99.0,56.0,116.39130434782608,80.62500000000007
20200104,0,PM10,116.0,114.0,108.0,107.0,105.0,57.0,118.1739130434782,77.41666666666711
20200104,1,PM10,118.0,127.0,115.0,104.0,107.0,55.0,119.95652173913051,74.20833333333317
