Method,MAE,RMSE,SMAPE
LT,19.148038579604194,30.675062823819808,19.76733308019698
OK,18.16216303362404,28.175221949338034,18.721258072252134
RST,18.321200370516323,29.68400983020451,18.882438015859627
EST,18.251784371362287,29.753161601553717,18.692174771796264
EFIM,21.46236168768468,32.505893435605046,21.54269845944218
HST,16.903221360420858,25.962806099916826,17.742515127183438
STISE,17.763771415095754,26.904553691770072,18.774682466043274
BiLSTM,19.96912740448255,42.102407848814494,19.87283018459653
CGDST,15.600704822217839,25.11833768520541,16.207546016465443
FGDST,15.68429878796759,24.768841519084628,16.415994738620498
