date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,208.0,154.0,169.0,,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,217.0,146.0,160.0,146.08091483909226,209.75752308602983,173.0,222.0,139.0,278.0,,222.0,145.0,146.0
20200104,4,PM2.5,210.33431850869766,122.0,148.0,142.11707484175736,,175.0,222.0,123.0,282.0,,215.0,135.0,135.0
20200104,5,PM2.5,,104.0,150.0,,206.57532356587882,199.0,222.0,142.0,270.0,,206.0,123.0,127.0
20200104,6,PM2.5,,96.0,138.0,,216.50030367939843,207.0,228.0,177.0,273.0,180.32171467897496,201.0,,118.0
20200104,7,PM2.5,213.4520391239298,94.0,126.0,140.0,,221.0,206.0,166.0,249.0,,194.0,,114.0
20200104,8,PM2.5,,92.0,127.0,177.0,231.0,217.0,223.0,159.0,215.0,193.0,198.0,164.15166760087013,146.67286071777343
20200104,9,PM2.5,228.0,102.0,105.0,174.0,259.0,211.0,,177.0,,202.0,203.0,,
20200104,10,PM2.5,233.0,,128.0,174.0,262.0,,214.37565294120998,167.0,207.954697283251,210.0,195.0,,173.44206062172142
20200104,11,PM2.5,241.0,151.20605589307493,129.0,155.0,,204.9815595284814,,220.0,,208.0,168.0,190.0,186.2537721927677
20200104,12,PM2.5,226.0,,130.0,161.0,,203.60777952415603,,194.0,,193.0,207.0,175.0,199.9959919665541
20200104,13,PM2.5,,,,169.0,226.7650088071823,205.24696799119312,,196.0,,213.0,,158.0,222.0
20200104,14,PM2.5,,,,181.0,218.90074144133598,,211.0,,203.0,229.0,,163.0,234.0
20200104,15,PM2.5,209.54931134035894,223.0,,211.0,,206.0,191.0,206.33139935175117,182.0,207.0,,202.0,219.0
20200104,16,PM2.5,204.59041424376124,,,,204.0,202.0,185.0,212.2845557355863,164.0,194.0,188.3686599271768,215.0,218.0
20200104,17,PM2.5,199.70831983330498,,,,212.0,197.0,166.0,216.07577894059676,144.0,194.0,,212.0,199.0
20200104,18,PM2.5,197.0,,207.0,,192.0,200.0,174.0,,,220.0,181.0,209.0,211.0
20200104,19,PM2.5,192.0,,215.0,,209.0,184.0,213.0,230.0,,244.0,226.0,195.0,252.0
20200104,20,PM2.5,224.0,240.51405930717792,249.0,,241.0,212.0,250.0,216.0,225.4133213877679,244.0,264.0,207.0,257.0
20200104,21,PM2.5,243.0,246.0,252.0,237.0,249.0,227.0,262.0,275.0,248.73780350290076,237.0,278.0,229.0,261.0
20200104,22,PM2.5,256.0,245.0,257.0,243.0,259.0,243.0,283.0,304.0,,239.0,298.0,242.0,268.0
