date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,208.0,154.0,169.0,183.18900758964764,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,217.0,146.0,160.0,179.83387823389427,179.83387823389427,173.0,222.0,139.0,278.0,179.83387823389427,222.0,145.0,146.0
20200104,4,PM2.5,178.84068855984165,122.0,148.0,178.8357861104209,178.83456864970552,175.0,222.0,123.0,282.0,178.8588222972507,215.0,135.0,135.0
20200104,5,PM2.5,175.97829808305497,104.0,150.0,175.97829808305497,175.97829808305497,199.0,222.0,142.0,270.0,175.97829808305497,206.0,123.0,127.0
20200104,6,PM2.5,175.45817090471039,96.0,138.0,175.45817090471039,175.45817090471039,207.0,228.0,177.0,273.0,175.45817090471039,201.0,175.45817090471039,118.0
20200104,7,PM2.5,176.54576080314314,94.0,126.0,140.0,176.5302623161143,221.0,206.0,166.0,249.0,176.55022748153448,194.0,176.5240089699145,114.0
20200104,8,PM2.5,180.64309834796913,92.0,127.0,177.0,231.0,217.0,223.0,159.0,215.0,193.0,198.0,180.64309834796913,180.64309834796913
20200104,9,PM2.5,228.0,102.0,105.0,174.0,259.0,211.0,182.26692968601006,177.0,182.26692968601006,202.0,203.0,182.26692968601006,182.26692968601006
20200104,10,PM2.5,233.0,185.74461731463788,128.0,174.0,262.0,185.7446173146379,185.74461731463788,167.0,185.74461731463788,210.0,195.0,185.74461731463788,185.74461731463785
20200104,11,PM2.5,241.0,187.30078716959517,129.0,155.0,187.30078716959517,187.30078716959517,187.30078716959517,220.0,187.30078716959517,208.0,168.0,190.0,187.30078716959517
20200104,12,PM2.5,226.0,190.30460275318154,130.0,161.0,190.3069489553119,190.31271141954667,190.30834151555814,194.0,190.30610363903438,193.0,207.0,175.0,190.30205159836015
20200104,13,PM2.5,193.36823078172617,193.3703780072778,193.37342451630357,169.0,193.36894061282368,193.36822983222092,193.36852504105377,196.0,193.3778017213876,213.0,193.36825383914118,158.0,222.0
20200104,14,PM2.5,198.2428670062138,198.2634770957379,198.27982038082882,181.0,198.25416210028686,198.24299650113878,211.0,198.24607078764384,203.0,229.0,198.24120186511973,163.0,234.0
20200104,15,PM2.5,201.35689244356266,223.0,201.3730743580127,211.0,201.37928444143472,206.0,191.0,201.36484715950735,182.0,207.0,201.35242480157913,202.0,219.0
20200104,16,PM2.5,198.1423824498596,198.14303918204723,198.13730587469632,198.14372027599748,204.0,202.0,185.0,198.1428697941863,164.0,194.0,198.142117810039,215.0,218.0
20200104,17,PM2.5,197.2868451226096,197.2756534405591,197.2681452477418,197.28142166797656,212.0,197.0,166.0,197.28381332415876,144.0,194.0,197.28884183860728,212.0,199.0
20200104,18,PM2.5,197.0,199.54424996557145,207.0,199.16170735422764,192.0,200.0,174.0,198.99829710104746,200.63481126789728,220.0,181.0,209.0,211.0
20200104,19,PM2.5,192.0,212.08736075572762,215.0,202.97558810049583,209.0,184.0,213.0,230.0,232.6114638823353,244.0,226.0,195.0,252.0
20200104,20,PM2.5,224.0,238.68869054092423,249.0,233.5143971777291,241.0,212.0,250.0,216.0,240.68968404506356,244.0,264.0,207.0,257.0
20200104,21,PM2.5,243.0,246.0,252.0,237.0,249.0,227.0,262.0,275.0,251.07177866141657,237.0,278.0,229.0,261.0
20200104,22,PM2.5,256.0,245.0,257.0,243.0,259.0,243.0,283.0,304.0,261.4693905337225,239.0,298.0,242.0,268.0
20200104,23,PM2.5,297.0,269.0,260.0,247.0,291.0,263.0,286.0,272.0,298.0,274.9285946304117,316.0,245.0,302.0
20200105,0,PM2.5,273.62384104818955,286.0,259.0,271.0,299.0,280.0,277.0,265.0,250.0,273.5401605061161,299.0,273.62412919524013,301.0
20200105,1,PM2.5,268.44483847242407,272.0,256.0,256.0,296.0,280.0,289.0,265.0,192.0,266.87923027436887,280.0,268.2069059913599,290.0
20200105,2,PM2.5,262.6872236401641,261.0,249.0,241.0,287.0,252.0,276.9175915079359,266.9714210025282,251.18315111440103,250.99571622263642,263.0,270.05931241023677,269.0
20200105,3,PM2.5,240.1964440635523,222.0,245.0,249.0,231.0132293951471,252.0,235.03369140521036,238.78746045679702,239.60660671919698,239.54848927352595,218.0,223.4172273681807,222.0
20200105,4,PM2.5,199.5366543028913,199.0,233.0,212.0,198.37781327725259,218.0,199.09717697347818,199.84198065601007,223.96138094551603,209.0,160.0,197.99827162049192,219.78825333056346
20200105,5,PM2.5,180.0,169.0,174.1561047367244,185.0,176.53588049665555,186.0,178.2769642605403,181.02117520079548,171.8354246587671,156.0,134.0,202.0,174.06499427694587
20200105,6,PM2.5,148.0,133.0,143.64635139124294,158.0,144.0746735279679,161.0,144.08756326646653,143.96787961229276,143.07381302799078,137.0,94.0,169.0,143.71604521788214
20200105,7,PM2.5,128.0,104.0,130.7400455868168,137.0,130.93379371659475,131.03108808425196,82.0,286.0,92.0,107.0,70.0,155.0,130.76842483988952
20200105,8,PM2.5,109.0,88.0,124.25084391246925,124.29107458522836,119.0,124.30882571916386,78.0,284.0,73.0,94.0,124.31229785536519,136.0,124.25565780012741
20200105,9,PM2.5,101.0,112.0,115.72869330961444,115.72869330961444,110.0,115.72869330961444,75.0,284.0,57.0,115.72869330961444,115.72869330961444,119.0,103.0
20200105,10,PM2.5,100.0,85.0,90.0,105.90855863741403,105.0,105.90855863741403,69.0,271.0,51.0,105.90855863741403,105.90855863741403,104.0,66.0
20200105,11,PM2.5,93.0,76.0,92.0,93.00417227700578,100.0,93.04273386378262,56.0,207.0,48.0,92.80761206278977,93.04792604442598,103.0,54.0
20200105,12,PM2.5,82.0,70.0,80.0,81.57725118661635,88.0,94.0,54.0,135.0,53.0,81.15652914107584,81.66845889528213,104.0,47.0
