Method,MAE,RMSE,SMAPE
LT,7.1632,11.786012425281458,15.816267366079373
OK,9.420813709025827,15.414709284014574,20.02221069080685
RST,7.288264286455562,11.803988761763213,16.031215528461747
EST,9.852083202562982,15.607982492279602,21.076590893240386
EFIM,14.802454218592501,23.93570179028605,29.325038112033273
HST,6.688705077075483,10.65058895979082,14.776157565861974
STISE,8.581052006572378,13.254799456845927,18.628697464842684
BiLSTM,10.346677263655627,15.577959839613822,23.76252145047647
CGDST,6.642631895852434,10.602726034227892,14.628409785509508
FGDST,6.633550727569656,10.585539289646285,14.605755247507513
