date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,208.0,154.0,169.0,140.0,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,217.0,146.0,160.0,140.0,225.16666666666666,173.0,222.0,139.0,278.0,160.5,222.0,145.0,146.0
20200104,4,PM2.5,218.83333333333334,122.0,148.0,140.0,226.33333333333334,175.0,222.0,123.0,282.0,167.0,215.0,135.0,135.0
20200104,5,PM2.5,220.66666666666666,104.0,150.0,140.0,227.5,199.0,222.0,142.0,270.0,173.5,206.0,123.0,127.0
20200104,6,PM2.5,222.5,96.0,138.0,140.0,228.66666666666666,207.0,228.0,177.0,273.0,180.0,201.0,134.16666666666666,118.0
20200104,7,PM2.5,224.33333333333334,94.0,126.0,140.0,229.83333333333334,221.0,206.0,166.0,249.0,186.5,194.0,145.33333333333334,114.0
20200104,8,PM2.5,226.16666666666666,92.0,127.0,177.0,231.0,217.0,223.0,159.0,215.0,193.0,198.0,156.5,132.0
20200104,9,PM2.5,228.0,102.0,105.0,174.0,259.0,211.0,221.0,177.0,213.0,202.0,203.0,167.66666666666666,150.0
20200104,10,PM2.5,233.0,122.16666666666667,128.0,174.0,262.0,210.16666666666666,219.0,167.0,211.0,210.0,195.0,178.83333333333331,168.0
20200104,11,PM2.5,241.0,142.33333333333334,129.0,155.0,252.33333333333334,209.33333333333334,217.0,220.0,209.0,208.0,168.0,190.0,186.0
20200104,12,PM2.5,226.0,162.5,130.0,161.0,242.66666666666666,208.5,215.0,194.0,207.0,193.0,207.0,175.0,204.0
20200104,13,PM2.5,221.16666666666666,182.66666666666669,142.83333333333334,169.0,233.0,207.66666666666666,213.0,196.0,205.0,213.0,202.66666666666666,158.0,222.0
20200104,14,PM2.5,216.33333333333334,202.83333333333334,155.66666666666666,181.0,223.33333333333334,206.83333333333334,211.0,201.66666666666666,203.0,229.0,198.33333333333334,163.0,234.0
20200104,15,PM2.5,211.5,223.0,168.5,211.0,213.66666666666669,206.0,191.0,207.33333333333334,182.0,207.0,194.0,202.0,219.0
20200104,16,PM2.5,206.66666666666666,226.83333333333334,181.33333333333334,215.33333333333334,204.0,202.0,185.0,213.0,164.0,194.0,189.66666666666666,215.0,218.0
20200104,17,PM2.5,201.83333333333334,230.66666666666666,194.16666666666669,219.66666666666666,212.0,197.0,166.0,218.66666666666666,144.0,194.0,185.33333333333334,212.0,199.0
20200104,18,PM2.5,197.0,234.5,207.0,224.0,192.0,200.0,174.0,224.33333333333334,169.66666666666666,220.0,181.0,209.0,211.0
20200104,19,PM2.5,192.0,238.33333333333334,215.0,228.33333333333334,209.0,184.0,213.0,230.0,195.33333333333334,244.0,226.0,195.0,252.0
20200104,20,PM2.5,224.0,242.16666666666666,249.0,232.66666666666666,241.0,212.0,250.0,216.0,221.0,244.0,264.0,207.0,257.0
20200104,21,PM2.5,243.0,246.0,252.0,237.0,249.0,227.0,262.0,275.0,246.66666666666669,237.0,278.0,229.0,261.0
20200104,22,PM2.5,256.0,245.0,257.0,243.0,259.0,243.0,283.0,304.0,272.33333333333337,239.0,298.0,242.0,268.0
20200104,23,PM2.5,297.0,269.0,260.0,247.0,291.0,263.0,286.0,272.0,298.0,234.0,316.0,245.0,302.0
20200105,0,PM2.5,277.5,286.0,259.0,271.0,299.0,280.0,277.0,265.0,250.0,229.0,299.0,237.83333333333334,301.0
20200105,1,PM2.5,258.0,272.0,256.0,256.0,296.0,280.0,289.0,265.0,192.0,224.0,280.0,230.66666666666666,290.0
20200105,2,PM2.5,238.5,261.0,249.0,241.0,287.0,252.0,254.5,268.5,175.33333333333334,219.0,263.0,223.5,269.0
20200105,3,PM2.5,219.0,222.0,245.0,249.0,259.0,252.0,220.0,272.0,158.66666666666666,214.0,218.0,216.33333333333334,222.0
