date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,208.0,154.0,169.0,139.9999999999987,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,217.0,146.0,160.0,139.99999999999957,225.16666666666606,173.0,222.0,139.0,278.0,160.49999999999943,222.0,145.0,146.0
20200104,4,PM2.5,205.0973873290065,122.0,148.0,140.00000000000017,226.33333333333243,175.0,222.0,123.0,282.0,167.00000000000105,215.0,135.0,135.0
20200104,5,PM2.5,217.94896610713474,104.0,150.0,140.0000000000006,227.4999999999988,199.0,222.0,142.0,270.0,173.50000000000117,206.0,123.0,127.0
20200104,6,PM2.5,217.57465096722217,96.0,138.0,140.0000000000003,228.66666666666478,207.0,228.0,177.0,273.0,180.0000000000006,201.0,134.16666666666617,118.0
20200104,7,PM2.5,186.2985885146301,94.0,126.0,140.0,229.83333333333303,221.0,206.0,166.0,249.0,186.49999999999983,194.0,145.33333333333334,114.0
20200104,8,PM2.5,176.70833333333326,92.0,127.0,177.0,231.0,217.0,223.0,159.0,215.0,193.0,198.0,156.4999999999998,131.99999999999986
20200104,9,PM2.5,228.0,102.0,105.0,174.0,259.0,211.0,221.00000000000006,177.0,213.00000000000009,202.0,203.0,167.66666666666632,149.99999999999994
20200104,10,PM2.5,233.0,122.16666666666677,128.0,174.0,262.0,210.16666666666688,219.00000000000003,167.0,211.00000000000023,210.0,195.0,178.83333333333314,168.00000000000009
20200104,11,PM2.5,241.0,142.33333333333343,129.0,155.0,252.33333333333331,209.3333333333335,217.0,220.0,208.99999999999977,208.0,168.0,190.0,186.00000000000014
20200104,12,PM2.5,226.0,162.50000000000003,130.0,161.0,242.66666666666652,208.50000000000003,214.99999999999986,194.0,206.9999999999999,193.0,207.0,175.0,204.00000000000009
20200104,13,PM2.5,195.40277777777789,198.61111111111092,201.93055555555546,169.0,233.00000000000023,207.66666666666677,213.00000000000023,196.0,204.9999999999998,213.0,202.66666666666666,158.0,222.0
20200104,14,PM2.5,200.80555555555526,201.93055555555526,205.8611111111112,181.0,223.3333333333335,206.8333333333332,211.0,201.6666666666665,203.0,229.0,198.33333333333346,163.0,234.0
20200104,15,PM2.5,203.5294617815784,223.0,168.49999999999983,211.0,213.66666666666706,206.0,191.0,207.33333333333334,182.0,207.0,194.0000000000001,202.0,219.0
20200104,16,PM2.5,197.35245235918003,202.24691031619113,222.878731748998,210.51612834230693,204.0,202.0,185.0,212.99999999999906,164.0,194.0,189.66666666666626,215.0,218.0
20200104,17,PM2.5,194.19538567766247,207.26737695597973,218.35389172921515,211.9201639228201,212.0,197.0,166.0,218.6666666666657,144.0,194.0,185.3333333333332,212.0,199.0
20200104,18,PM2.5,197.0,234.50000000000028,207.0,223.99999999999963,192.0,200.0,174.0,224.33333333333337,169.66666666666666,220.0,181.0,209.0,211.0
20200104,19,PM2.5,192.0,238.33333333333331,215.0,228.3333333333336,209.0,184.0,213.0,230.0,195.33333333333334,244.0,226.0,195.0,252.0
20200104,20,PM2.5,224.0,242.16666666666663,249.0,232.66666666666666,241.0,212.0,250.0,216.0,220.99999999999994,244.0,264.0,207.0,257.0
20200104,21,PM2.5,243.0,246.0,252.0,237.0,249.0,227.0,262.0,275.0,246.6666666666665,237.0,278.0,229.0,261.0
20200104,22,PM2.5,256.0,245.0,257.0,243.0,259.0,243.0,283.0,304.0,272.3333333333335,239.0,298.0,242.0,268.0
20200104,23,PM2.5,297.0,269.0,260.0,247.0,291.0,263.0,286.0,272.0,298.0,233.99999999999966,316.0,245.0,302.0
20200105,0,PM2.5,278.64994849867315,286.0,259.0,271.0,299.0,280.0,277.0,265.0,250.0,228.99999999999997,299.0,237.833333333333,301.0
20200105,1,PM2.5,286.2115207341241,272.0,256.0,256.0,296.0,280.0,289.0,265.0,192.0,223.9999999999992,280.0,230.66666666666535,290.0
20200105,2,PM2.5,263.86565708813004,261.0,249.0,241.0,287.0,252.0,254.50000000000614,268.5000000000003,175.33333333333303,218.99999999999994,263.0,223.4999999999998,269.0
20200105,3,PM2.5,248.38642932503433,222.0,245.0,249.0,259.0000000000016,252.0,220.00000000000256,272.00000000000193,158.6666666666681,214.00000000000193,218.0,216.33333333333294,222.0
20200105,4,PM2.5,208.64991842489678,199.0,233.0,212.0,231.00000000000082,218.0,185.5000000000018,275.49999999999943,142.000000000002,209.0,160.0,209.16666666666606,202.16666666666606
