date,hour,type,1462A,1463A,1464A,1465A,1466A,1467A,1468A,1469A,1470A,1471A,1472A,1473A,1474A
20200104,2,PM2.5,199.45285399259578,154.0,169.0,138.0,224.0,172.0,205.0,151.0,286.0,154.0,226.0,146.0,147.0
20200104,3,PM2.5,198.58050026159145,146.0,160.0,170.44764190805336,202.0,173.0,222.0,139.0,278.0,152.0,222.0,145.0,146.0
20200104,4,PM2.5,198.24026661474574,122.0,148.0,163.31030895820095,196.0,175.0,222.0,123.0,282.0,185.0,215.0,135.0,135.0
20200104,5,PM2.5,207.59666070838927,104.0,150.0,168.15581953370614,199.0,199.0,187.69954368122384,142.0,270.0,148.0,206.0,123.0,127.0
20200104,6,PM2.5,211.9144200564297,96.0,138.0,170.52088029862756,202.0,207.0,184.0958313778554,163.17643534544874,273.0,177.0,201.0,117.0,118.0
20200104,7,PM2.5,175.77873929900736,94.0,126.0,145.13085504199435,171.0,161.84740390535356,169.98460874756523,139.25711227911538,249.0,190.0,194.0,116.0,114.0
20200104,8,PM2.5,165.60031480029897,92.0,163.7977080200226,164.19898100903507,231.0,164.8232394304511,166.4295737493178,163.82903101255442,215.0,193.0,198.0,132.0,105.0
20200104,9,PM2.5,188.6,102.0,188.6,188.6,259.0,188.6,188.6,188.6,177.0,202.0,203.0,188.6,188.6
20200104,10,PM2.5,233.0,134.0,199.50000000000006,199.50000000000006,262.0,199.50000000000006,199.50000000000006,199.50000000000006,169.0,199.50000000000006,199.50000000000006,199.50000000000006,199.50000000000009
20200104,11,PM2.5,241.0,154.0,181.19999999999996,155.0,170.0,181.19999999999996,181.19999999999996,181.19999999999996,186.0,181.19999999999996,181.19999999999996,181.19999999999996,181.19999999999996
20200104,12,PM2.5,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
20200104,13,PM2.5,210.0,210.0,210.0,210.0,210.0,210.0,212.0,210.0,208.0,210.0,210.0,210.0,210.0
20200104,14,PM2.5,198.33333333333246,198.33333333333252,198.33333333333258,198.33333333333184,198.33333333333255,198.3333333333316,211.0,181.0,203.0,198.33333333333397,198.33333333333383,198.33333333333144,198.33333333333348
20200104,15,PM2.5,201.06078954442876,195.60694527032007,193.18268694445285,199.9718141226736,197.31366112346564,206.0,191.0,196.0,182.0,187.55372298743927,193.16990273636327,196.67200199681125,191.11822329116293
20200104,16,PM2.5,200.19819909877003,211.74604403079735,228.0,210.8524635183104,206.11801847789957,202.0,185.0,226.0,164.0,200.09999047687683,188.0806830728852,219.04497754252253,204.47009213767
20200104,17,PM2.5,185.80984790608224,203.49672650339664,220.0,202.62751052576252,194.1084262942714,197.0,166.0,234.0,144.0,192.91338060557752,165.07169730257328,212.0,199.0
20200104,18,PM2.5,195.3925629918249,203.3831822424429,207.0,207.14111613537008,198.84945788101598,200.0,174.0,255.0,158.0,220.0,181.0,209.0,211.0
20200104,19,PM2.5,212.95835277261634,216.22688902781863,215.0,213.30043609276976,215.03984315700527,184.0,213.0,230.0,176.0,244.0,226.0,195.0,252.0
20200104,20,PM2.5,224.0,250.0,249.0,218.0,241.0,212.0,250.0,216.0,228.0,244.0,264.0,207.0,257.0
20200104,21,PM2.5,243.0,246.0,252.0,237.0,249.0,227.0,262.0,275.0,275.0,237.0,278.0,229.0,261.0
20200104,22,PM2.5,256.0,245.0,257.0,243.0,259.0,243.0,283.0,304.0,317.0,239.0,298.0,242.0,268.0
20200104,23,PM2.5,297.0,269.0,260.0,247.0,291.0,263.0,286.0,272.0,298.0,275.0,316.0,245.0,302.0
20200105,0,PM2.5,307.0,286.0,280.36570452162334,271.0,299.0,280.0,277.0,265.0,250.0,288.0,299.0,244.0,301.0
20200105,1,PM2.5,304.0,284.2689418091834,281.60075031672096,256.0,296.0,280.0,289.0,265.0,192.0,282.0,280.0,263.95452792076406,290.0
20200105,2,PM2.5,294.0,271.8848706681006,265.7527495547208,241.0,287.0,252.0,248.0,265.0,176.0,242.0,253.70063188690307,254.51855720723375,269.0
20200105,3,PM2.5,230.0,232.57007222862126,232.02010105718045,249.0,228.0,252.0,220.00339268653454,273.0,201.64505175576167,204.0,221.03127719251336,252.67660239548596,222.0
20200105,4,PM2.5,196.0,213.41179546702656,213.53710290039817,212.0,207.0,218.0,208.8138702948075,277.0,206.10827495605923,209.0,209.62793522204026,221.61783364739148,193.0
20200105,5,PM2.5,180.0,188.14273828098106,188.71026766723796,185.0,183.0,186.0,176.6722043293209,284.0,159.02240347816587,156.0,177.88289555584436,209.87492669603483,176.37305037025513
20200105,6,PM2.5,148.0,181.6016672676965,180.30238067370152,158.0,181.31119802246315,189.7396661040314,176.03555821020726,296.0,163.84610224839022,137.0,176.76452435446006,191.2981697175266,174.4457212916266
20200105,7,PM2.5,128.0,159.8172436732685,157.87262242702135,137.0,159.46186392004222,171.90518274578537,151.86413055204548,286.0,133.86761282401258,107.0,153.00790195849964,173.97032992104144,149.36904057625475
20200105,8,PM2.5,109.0,139.65621737156158,109.0,123.0,140.85245114030704,153.02020131847468,134.73656190464675,284.0,119.86010194736178,94.0,136.54940888658572,152.2998618748578,130.34868343371974
20200105,9,PM2.5,101.0,112.0,84.0,106.0,109.56859454634196,147.61190008258026,100.72258502589183,284.0,89.73636965470958,98.0,107.52438673793733,119.0,93.94070648789653
20200105,10,PM2.5,100.0,85.0,90.0,100.0,91.45566380515213,137.3184750175429,69.16522726779783,271.0,53.91244644933815,75.0,52.0,104.0,72.88025063830122
20200105,11,PM2.5,93.0,76.0,92.0,96.0,84.29951709569563,117.5074335967639,56.0,207.0,48.0,72.0,50.0,103.0,69.73855761930199
20200105,12,PM2.5,82.0,70.0,80.0,96.0,78.98389652774254,95.73734881237664,54.0,135.0,53.0,66.0,49.0,104.0,66.71437474572615
20200105,13,PM2.5,75.0,66.0,65.0,81.0,71.48112377604245,81.55694956531609,53.0,120.0,52.0,66.0,51.0,92.0,48.0
20200105,14,PM2.5,68.0,63.0,68.0,82.0,77.0,78.0,59.0,142.0,55.0,69.0,56.0,86.0,53.0
20200116,1,PM2.5,176.0,159.0,153.0,164.0,172.0,180.0,192.0,197.0,165.0,174.0,198.0,172.0,174.32953080315204
20200116,2,PM2.5,180.0,158.0,150.0,175.90299192217384,176.0,181.0,190.0,192.0,157.0,170.0,187.0,174.0,168.55356060243076
20200116,3,PM2.5,181.0,151.0,170.7,170.7,167.0,176.0,195.0,180.0,159.0,156.0,183.0,159.0,170.69999999999985
20200116,4,PM2.5,175.0,170.62500000000003,170.62500000000006,170.62500000000009,160.0,172.0,195.0,168.0,170.62500000000014,164.0,186.0,145.0,170.6250000000001
20200116,5,PM2.5,180.0,171.57142857142844,171.57142857142844,171.57142857142844,171.57142857142844,172.0,203.0,156.0,171.57142857142844,171.0,183.0,136.0,171.57142857142844
20200116,6,PM2.5,179.0,168.1428571428571,168.1428571428571,168.1428571428571,168.1428571428571,168.0,197.0,152.0,168.1428571428571,174.0,174.0,133.0,168.14285714285708
20200116,7,PM2.5,173.0,155.31321337614838,154.09259243699003,153.93968805839648,159.4543670270116,162.0,170.11992826465757,150.0,177.36931765103947,174.0,178.0,129.0,163.7703034420776
20200116,8,PM2.5,173.0,157.59999999999997,157.59999999999997,157.59999999999997,157.59999999999997,160.0,157.59999999999997,151.0,157.59999999999997,176.0,157.59999999999997,128.0,157.59999999999997
20200116,9,PM2.5,175.0,158.6812968454222,157.84627114345597,150.6935602452193,164.17442494440263,159.0,182.87967201264757,138.95383552376785,188.7018706605173,176.0,185.06853220228385,128.0,184.0
20200116,10,PM2.5,182.0,162.00000000000006,162.00000000000006,124.0,162.00000000000006,173.0,162.00000000000006,162.00000000000003,162.00000000000003,180.0,162.00000000000009,127.0,186.0
20200116,11,PM2.5,187.0,161.2857142857102,148.0,127.0,161.28571428571206,177.0,161.28571428572292,161.28571428570274,161.2857142857352,179.0,161.2857142857244,121.0,190.0
20200116,12,PM2.5,192.0,168.0,162.0,124.0,163.88888888888889,157.0,163.8888888888889,163.88888888888883,186.0,179.0,163.8888888888889,122.0,185.0
20200116,13,PM2.5,190.0,162.11111111111126,144.0,118.0,182.0,143.0,162.11111111111126,162.11111111111126,196.0,195.0,162.11111111111126,108.0,183.0
20200116,14,PM2.5,145.52651494534564,151.690313968328,157.0,110.0,184.0,130.0,162.06621531013474,129.49031793323218,198.0,200.0,160.35082451634705,109.0,176.0
20200116,15,PM2.5,160.30781550943277,167.26076157770905,172.0,115.0,187.0,130.0,216.0,128.9659989420791,209.8146873742999,200.0,195.64878484665803,140.34128345845158,179.0
20200116,16,PM2.5,168.62499999993668,168.6249999999753,172.0,107.0,184.0,121.0,212.0,168.6249999998897,168.62500000012085,194.0,174.0,168.62499999992576,185.0
20200116,17,PM2.5,146.74356580706416,168.66145744197357,173.0,95.0,193.0,111.0,208.0,92.0,202.0296555610421,194.0,174.0,119.03519308857531,184.0
20200116,18,PM2.5,175.60170411734336,182.61091561391112,179.0,164.0,190.0,158.0,209.0,92.0,200.08487132972868,195.0,177.0,145.3416442942756,189.0
20200116,19,PM2.5,191.06833931295634,183.74495693895415,179.0,182.0,189.0,186.0,206.0,104.0,203.08207167824304,199.0,183.0,155.59610439036962,189.0
20200116,20,PM2.5,195.29624365644918,186.67139160493363,183.0,188.0,190.0,188.0,219.0,115.0,214.17962696917593,209.0,193.0,162.39682937970903,192.0
20200116,21,PM2.5,194.66666666666669,195.0,180.0,187.0,198.0,194.66666666666663,220.0,187.0,194.66666666666666,201.0,186.0,194.66666666666652,198.0
20200116,22,PM2.5,196.0,194.11111111111114,175.0,198.0,202.0,194.1111111111112,213.0,206.0,194.11111111111117,200.0,172.0,194.11111111111114,185.0
20200116,23,PM2.5,200.0,192.40442737087162,174.0,195.0,197.0,198.86785821096996,205.0,206.0,171.0,185.0,170.0,199.0,194.0
20200117,0,PM2.5,197.0,184.90000000023193,161.0,196.0,191.0,184.90000000097734,196.0,184.90000000080613,171.0,186.0,187.0,190.0,174.0
20200117,1,PM2.5,192.0,179.9999999999999,157.0,192.0,179.9999999999999,179.9999999999999,197.0,179.9999999999999,176.0,188.0,191.0,162.0,165.0
20200117,2,PM2.5,182.0,176.77777777777777,152.0,175.0,176.77777777777777,176.77777777777777,228.0,176.77777777777777,174.0,180.0,198.0,133.0,169.0
20200117,3,PM2.5,181.0,166.15059933286767,149.0,158.0,167.5712793769795,167.09260510414947,184.0,163.79221839874168,173.0,185.0,211.0,109.0,176.0
20200117,4,PM2.5,181.0,165.4689040180393,156.0,137.0,165.73336844980844,165.5516491843743,178.0,164.81818582000454,166.0,174.0,214.0,106.0,184.0
20200117,5,PM2.5,180.0,159.1111111111112,147.0,127.0,159.1111111111112,180.0,154.0,159.1111111111112,168.0,159.1111111111112,212.0,110.0,154.0
20200117,6,PM2.5,179.0,139.0,127.0,179.0,158.2999999999973,178.0,165.0,158.2999999999942,166.0,158.29999999998395,217.0,110.0,123.0
20200117,7,PM2.5,166.0,117.0,124.0,174.0,155.7999999999996,172.0,198.0,155.7999999999995,170.0,155.79999999999896,189.0,132.0,116.0
20200117,8,PM2.5,172.0,110.0,127.0,181.0,162.15615118811135,166.0,202.0,190.0,180.0,161.3106601911577,197.0,152.0,112.0
20200117,9,PM2.5,190.0,138.0,114.0,190.0,206.0,186.0,203.0,199.0,194.0,175.90164364314882,195.0,168.0,138.0
20200117,10,PM2.5,201.0,188.0,159.0,197.0,214.0,212.0,213.0,213.0,192.0,193.00000000000009,184.0,202.0,141.0
20200117,11,PM2.5,208.0,203.0,207.0,204.0,224.0,209.0,223.0,206.0,179.0,197.3525966587357,184.0,215.0,145.0
20200117,12,PM2.5,220.0,194.0,197.0,204.0,224.0,222.0,230.0,199.0,168.0,187.37154650429466,212.0,208.0,201.0
20200117,13,PM2.5,224.0,207.0,203.0,204.0,231.0,207.0,249.0,202.0,182.0,205.0,238.0,211.0,227.0
20200117,15,PM2.5,194.0,211.0,207.99999999999997,187.0,220.0,186.0,256.0,185.0,209.0,212.0,236.0,192.0,207.99999999999997
20200117,16,PM2.5,187.0,212.0,200.94431503548734,173.0,214.0,171.0,248.0,176.0,212.0,221.0,213.0,176.0,205.31418702874674
20200117,17,PM2.5,184.0,213.0,198.75375751933976,147.0,208.0,166.0,242.0,157.0,225.0,232.0,203.0,156.0,213.47932726847557
20200117,18,PM2.5,191.0,227.0,204.33360031948575,151.0,228.0,170.0,250.0,145.0,224.0,246.0,202.0,152.0,217.5345502088805
20200117,19,PM2.5,208.0,259.0,218.2190549901556,178.0,258.0,187.0,283.0,140.0,224.0,255.0,226.0,176.0,220.15026013878418
20200117,20,PM2.5,239.49693857564088,259.0,251.39197208214637,231.0,266.0,221.4922069214705,298.0,156.0,264.56873803471825,257.0,236.0,233.0,265.81916099854095
20200117,21,PM2.5,237.98770629761455,243.0,245.52992621800496,246.0,242.78464562322924,233.92663259608818,278.0,190.0,251.18019715717273,259.0,218.0,252.0,248.8241775101231
20200117,22,PM2.5,234.42857142857144,243.0,234.42857142857144,242.0,234.42857142857144,234.42857142857144,270.0,192.0,234.42857142857144,221.0,218.0,255.0,234.4285714285716
20200117,23,PM2.5,229.16716546967587,243.0,214.0,232.0,240.5541135554716,230.6984449797903,251.0,239.0,167.36054458226994,164.0,190.0,255.0,234.0
20200118,0,PM2.5,229.4076824180692,242.0,214.0,231.0,238.33060741845463,234.81851298782487,251.0,255.0,128.46509709467716,132.0,169.0,249.0,183.0
20200118,1,PM2.5,223.97892694444764,229.0,204.0,226.0,226.24020183468508,228.42571567781408,227.0,238.64740341708026,137.26778214751565,134.0,190.0,246.0,164.0
20200118,2,PM2.5,207.5703623630759,212.0,187.0,210.0,208.59265710122324,214.97887462339924,203.0,235.04773720400686,150.7475721535913,146.0,189.0,251.0,188.0
20200118,3,PM2.5,208.45160441703706,222.0,176.0,208.0,215.61677475314232,212.04103087731215,211.0,226.49054217283884,160.194083378874,150.0,191.0,244.0,216.0
20200118,4,PM2.5,208.0,217.0,205.7160873665888,217.0,217.8507478548314,229.0,227.0,222.13257620455676,140.0,145.0,197.0,215.41297204953077,209.0
20200118,5,PM2.5,204.0,224.0,207.78718778388253,213.0,226.0,212.0,238.0,209.0383728102972,126.0,147.0,205.0,211.6310169186247,209.0
20200118,6,PM2.5,201.0,232.0,208.91626510445218,214.0,226.0,205.0,220.0,208.19087004046472,114.0,146.0,208.0,215.38021101350841,195.0
20200118,7,PM2.5,202.0,224.0,201.37631670820895,201.0,222.0,204.0,228.0,200.1003853612361,112.0,144.0,204.0,203.71264290394708,193.0
20200118,8,PM2.5,205.0,217.0,196.95088813186024,189.0,220.0,191.0,227.0,185.5518795666263,112.0,152.0,201.0,191.8395712873497,194.0
20200118,9,PM2.5,196.0,217.0,197.3722863281559,172.0,211.0,181.0,218.0,184.0,122.0,153.0,205.0,185.32608500145764,195.0
20200118,10,PM2.5,186.0,196.0,190.2946045233647,163.0,207.0,174.0,228.0,186.0,128.0,200.0,218.0,185.2473149743273,185.0
20200118,11,PM2.5,197.0,186.0,187.0707099543089,166.0,198.0,183.0,222.0,195.0,143.0,178.00653158051364,221.0,184.2475028016057,197.0
20200118,12,PM2.5,200.0,194.0,168.0,175.0,191.48275787149024,187.0,205.98367277298297,207.0,159.0,174.126862715622,215.0,184.0,198.0
20200118,13,PM2.5,228.0,203.0,180.0,198.0,206.22372030262696,219.0,208.16102318343917,221.0,177.0,184.25986147319168,212.37854328085214,202.0,197.0
20200118,14,PM2.5,238.0,214.0,193.0,210.0,217.2658695930115,226.0,219.87996664473343,229.0,187.0,195.79670250995895,223.60431857474958,210.0,210.0
